from,to,t_from,t_to,l,k,flow
m10_q_l1,m10_q_l1,11,12,l1,k1,27.236858
m2_q_l2,m2_q_l2,10,11,l1,k2,25.046651
m1_q_l1,m1_q_l1,11,12,l1,k5,15.413759
m10_q_l1,m10_q_l1,5,6,l1,k2,14.662159
m10_q_l1,m10_q_l1,11,12,l1,k4,14.29832
m10_q_l1,m10_q_l1,8,9,l1,k1,13.030933
m10_q_l1,m10_q_l1,10,11,l1,k3,12.787313
m1_q_l2,m1_q_l2,1,2,l1,k1,10.669744
m3_q_l2,m3_q_l2,4,5,l1,k3,8.6705077
m2_q_l1,m2_q_l1,5,6,l1,k5,6.9515561
m10_q_l1,m10_q_l1,6,7,l1,k5,5.991819
m10_q_l1,m10_q_l1,6,7,l1,k3,5.1948587
m1_q_l1,m1_q_l1,4,5,l1,k3,2.3655174
m2_q_l1,m2_q_l1,10,11,l1,k4,2.2243897
m3_q_l2,m3_q_l2,8,9,l1,k3,1.9154393
m10_q_l1,m10_q_l1,10,11,l1,k2,0.37345623
