from,to,t_from,t_to,l,k,flow
m3_q_l1,m3_q_l1,7,8,l1,k4,37.224048
m4_q_l1,m4_q_l1,9,10,l1,k1,35.329262
m1_q_l2,m1_q_l2,10,11,l1,k1,33.576818
m10_q_l1,m10_q_l1,11,12,l1,k2,20.784005
m3_q_l2,m3_q_l2,5,6,l1,k3,20.771776
m3_q_l1,m3_q_l1,8,9,l1,k1,19.903846
m10_q_l1,m10_q_l1,10,11,l1,k3,18.208402
m4_q_l1,m4_q_l1,7,8,l1,k3,18.173338
m4_q_l1,m4_q_l1,11,12,l1,k2,18.070527
m10_q_l1,m10_q_l1,6,7,l1,k3,18.027734
m4_q_l1,m4_q_l1,8,9,l1,k1,16.75855
m1_q_l1,m1_q_l1,10,11,l1,k3,16.595894
m3_q_l1,m3_q_l1,11,12,l1,k5,16.228094
m2_q_l1,m2_q_l1,1,2,l1,k4,13.470833
m4_q_l1,m4_q_l1,8,9,l1,k5,12.735226
m3_q_l1,m3_q_l1,6,7,l1,k5,12.651953
m4_q_l1,m4_q_l1,2,3,l1,k1,10.848714
m1_q_l1,m1_q_l1,2,3,l1,k3,10.244122
m1_q_l1,m1_q_l1,9,10,l1,k2,9.7786343
m1_q_l1,m1_q_l1,6,7,l1,k4,9.5526117
m3_q_l1,m3_q_l1,9,10,l1,k5,9.2230862
m3_q_l2,m3_q_l2,6,7,l1,k3,6.6934256
m2_q_l1,m2_q_l1,11,12,l1,k1,6.4191236
m4_q_l1,m4_q_l1,3,4,l1,k3,6.1084179
m5_q_l2,m5_q_l2,8,9,l1,k5,6.0843456
m10_q_l1,m10_q_l1,9,10,l1,k5,6.0152456
m1_q_l1,m1_q_l1,11,12,l1,k5,5.1420482
m2_q_l1,m2_q_l1,10,11,l1,k3,3.9931566
m2_q_l1,m2_q_l1,6,7,l1,k4,3.29898
m10_q_l1,m10_q_l1,7,8,l1,k2,3.0899102
m3_q_l1,m3_q_l1,7,8,l1,k2,2.9513788
m3_q_l2,m3_q_l2,3,4,l1,k3,2.3958001
m3_q_l1,m3_q_l1,3,4,l1,k4,2.1411208
m4_q_l1,m4_q_l1,6,7,l1,k3,0.67126664
