from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k3,120.38323
m9_q_l1,m9_q_l1,10,11,l1,k3,103.78816
m9_q_l1,m9_q_l1,9,10,l1,k3,89.812042
m9_q_l1,m9_q_l1,7,8,l1,k1,77.356095
m5_q_l2,m5_q_l2,9,10,l1,k5,71.034369
m9_q_l1,m9_q_l1,7,8,l1,k4,63.961794
m9_q_l1,m9_q_l1,8,9,l1,k3,63.325377
m2_q_l2,m2_q_l2,11,12,l1,k2,62.764958
m5_q_l2,m5_q_l2,8,9,l1,k5,62.66265
m9_q_l1,m9_q_l1,8,9,l1,k4,61.118009
m5_q_l2,m5_q_l2,7,8,l1,k5,55.634547
m1_q_l2,m1_q_l2,11,12,l1,k1,53.245376
m5_q_l2,m5_q_l2,6,7,l1,k5,53.207088
m9_q_l1,m9_q_l1,3,4,l1,k5,52.369617
m9_q_l1,m9_q_l1,5,6,l1,k2,50.837778
m9_q_l1,m9_q_l1,10,11,l1,k2,47.2748
m9_q_l1,m9_q_l1,10,11,l1,k1,46.099113
m2_q_l2,m2_q_l2,10,11,l1,k2,45.570683
m9_q_l1,m9_q_l1,6,7,l1,k4,44.664146
m1_q_l2,m1_q_l2,10,11,l1,k1,44.285907
m9_q_l1,m9_q_l1,11,12,l1,k1,39.616774
m5_q_l2,m5_q_l2,10,11,l1,k5,39.454642
m9_q_l1,m9_q_l1,2,3,l1,k5,38.777852
m5_q_l2,m5_q_l2,11,12,l1,k5,38.73528
m9_q_l1,m9_q_l1,8,9,l1,k1,36.601364
m9_q_l1,m9_q_l1,9,10,l1,k1,36.601364
m1_q_l2,m1_q_l2,9,10,l1,k1,35.2165
m9_q_l1,m9_q_l1,6,7,l1,k1,35.21118
m9_q_l1,m9_q_l1,9,10,l1,k2,33.691586
m9_q_l1,m9_q_l1,5,6,l1,k4,31.739779
m3_q_l2,m3_q_l2,7,8,l1,k3,26.857515
m3_q_l2,m3_q_l2,11,12,l1,k3,25.502789
m3_q_l2,m3_q_l2,6,7,l1,k3,22.549355
m5_q_l2,m5_q_l2,5,6,l1,k5,22.493665
m3_q_l2,m3_q_l2,2,3,l1,k3,22.435162
m9_q_l1,m9_q_l1,4,5,l1,k4,22.327526
m9_q_l1,m9_q_l1,1,2,l1,k4,20.434666
m9_q_l1,m9_q_l1,6,7,l1,k5,18.943855
m4_q_l2,m4_q_l2,6,7,l1,k4,17.750679
m9_q_l1,m9_q_l1,2,3,l1,k1,17.419688
m9_q_l1,m9_q_l1,3,4,l1,k4,15.850193
m9_q_l1,m9_q_l1,7,8,l1,k3,15.831801
m9_q_l1,m9_q_l1,4,5,l1,k2,15.039247
m1_q_l2,m1_q_l2,1,2,l1,k1,14.213315
m3_q_l2,m3_q_l2,5,6,l1,k3,14.148065
m9_q_l1,m9_q_l1,8,9,l1,k2,13.51551
m9_q_l1,m9_q_l1,4,5,l1,k3,13.085129
m1_q_l2,m1_q_l2,6,7,l1,k1,12.497225
m4_q_l2,m4_q_l2,1,2,l1,k4,12.293684
m9_q_l1,m9_q_l1,4,5,l1,k1,10.748628
m2_q_l2,m2_q_l2,9,10,l1,k2,10.688751
m9_q_l1,m9_q_l1,7,8,l1,k2,10.196404
m9_q_l1,m9_q_l1,8,9,l1,k5,10.067254
m9_q_l1,m9_q_l1,9,10,l1,k5,10.067254
m5_q_l2,m5_q_l2,3,4,l1,k5,9.0314108
m3_q_l2,m3_q_l2,8,9,l1,k3,6.726322
m4_q_l2,m4_q_l2,4,5,l1,k4,5.7602766
m1_q_l2,m1_q_l2,5,6,l1,k1,5.3380206
m2_q_l2,m2_q_l2,5,6,l1,k2,3.9470505
m9_q_l1,m9_q_l1,6,7,l1,k3,3.9292197
m1_q_l2,m1_q_l2,8,9,l1,k1,3.9082542
m2_q_l2,m2_q_l2,2,3,l1,k2,3.552972
m3_q_l2,m3_q_l2,3,4,l1,k3,2.9306884
m3_q_l2,m3_q_l2,10,11,l1,k3,2.7642253
m4_q_l2,m4_q_l2,10,11,l1,k4,2.4718146
m9_q_l1,m9_q_l1,3,4,l1,k3,2.0738382
m4_q_l2,m4_q_l2,9,10,l1,k4,0.54139589
