metric,mean,std,min,max
objective,60373.01501471168,18988.275341390483,43809.12200604999,81096.13054525
deployed_count,1.0,1.0,0.0,2.0
unmet_demand_pct,0.0,0.0,0.0,0.0
runtime_seconds,110.62623540560405,81.37036771235721,16.699817180633545,159.71258163452148
iterations,14.0,10.392304845413264,2.0,20.0
