from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,212.04992
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m4_q_l2,m4_q_l2,9,10,l1,k4,197.38041
m4_q_l2,m4_q_l2,8,9,l1,k4,150.19441
m4_q_l2,m4_q_l2,7,8,l1,k4,136.6344
m3_q_l2,m3_q_l2,8,9,l1,k3,135.19819
m10_q_l1,m10_q_l1,11,12,l1,k2,125.67086
m1_q_l2,m1_q_l2,11,12,l1,k1,116.89412
m1_q_l1,m1_q_l1,11,12,l1,k5,107.88936
m4_q_l2,m4_q_l2,6,7,l1,k4,106.43071
m10_q_l1,m10_q_l1,8,9,l1,k2,103.03002
m10_q_l1,m10_q_l1,10,11,l1,k2,102.05175
m3_q_l2,m3_q_l2,7,8,l1,k3,101.40629
m10_q_l1,m10_q_l1,9,10,l1,k2,88.283285
m3_q_l2,m3_q_l2,9,10,l1,k3,87.841639
m10_q_l1,m10_q_l1,5,6,l1,k2,83.445955
m3_q_l2,m3_q_l2,11,12,l1,k3,80.598358
m10_q_l1,m10_q_l1,7,8,l1,k2,80.362339
m3_q_l2,m3_q_l2,6,7,l1,k3,77.696855
m1_q_l1,m1_q_l1,10,11,l1,k5,76.660643
m5_q_l2,m5_q_l2,11,12,l1,k5,76.218101
m3_q_l2,m3_q_l2,10,11,l1,k3,74.280025
m1_q_l2,m1_q_l2,10,11,l1,k1,72.559977
m5_q_l2,m5_q_l2,8,9,l1,k5,71.207453
m5_q_l2,m5_q_l2,10,11,l1,k5,71.024287
m3_q_l2,m3_q_l2,5,6,l1,k3,69.955374
m3_q_l2,m3_q_l2,4,5,l1,k3,66.46381
m10_q_l1,m10_q_l1,6,7,l1,k2,63.436212
m1_q_l1,m1_q_l1,3,4,l1,k1,61.612328
m1_q_l1,m1_q_l1,7,8,l1,k1,61.513388
m4_q_l2,m4_q_l2,5,6,l1,k4,59.418731
m5_q_l2,m5_q_l2,7,8,l1,k5,57.624614
m5_q_l2,m5_q_l2,9,10,l1,k5,57.567036
m1_q_l1,m1_q_l1,9,10,l1,k5,56.007708
m1_q_l1,m1_q_l1,10,11,l1,k2,51.586953
m10_q_l1,m10_q_l1,6,7,l1,k5,49.435806
m10_q_l1,m10_q_l1,4,5,l1,k2,47.53876
m1_q_l2,m1_q_l2,9,10,l1,k1,40.028815
m4_q_l2,m4_q_l2,4,5,l1,k4,39.059953
m1_q_l2,m1_q_l2,2,3,l1,k1,37.904868
m4_q_l2,m4_q_l2,3,4,l1,k4,37.700348
m1_q_l1,m1_q_l1,6,7,l1,k1,37.610524
m1_q_l1,m1_q_l1,9,10,l1,k2,37.586652
m10_q_l1,m10_q_l1,9,10,l1,k3,36.515268
m10_q_l1,m10_q_l1,10,11,l1,k1,36.362721
m10_q_l1,m10_q_l1,5,6,l1,k5,35.385906
m1_q_l1,m1_q_l1,11,12,l1,k4,34.973848
m1_q_l1,m1_q_l1,2,3,l1,k2,34.503637
m10_q_l1,m10_q_l1,11,12,l1,k4,34.329142
m1_q_l2,m1_q_l2,5,6,l1,k1,32.324549
m10_q_l1,m10_q_l1,8,9,l1,k1,30.471706
m5_q_l2,m5_q_l2,3,4,l1,k5,29.515352
m1_q_l2,m1_q_l2,4,5,l1,k1,27.928092
m5_q_l2,m5_q_l2,6,7,l1,k5,25.328036
m1_q_l1,m1_q_l1,3,4,l1,k3,25.281576
m1_q_l1,m1_q_l1,4,5,l1,k3,25.281576
m2_q_l2,m2_q_l2,8,9,l1,k2,25.275527
m1_q_l1,m1_q_l1,4,5,l1,k5,24.875356
m2_q_l2,m2_q_l2,10,11,l1,k2,24.584335
m10_q_l1,m10_q_l1,1,2,l1,k4,23.9918
m10_q_l1,m10_q_l1,2,3,l1,k4,23.9918
m10_q_l1,m10_q_l1,3,4,l1,k1,22.452867
m3_q_l2,m3_q_l2,3,4,l1,k3,21.745986
m1_q_l2,m1_q_l2,8,9,l1,k1,20.963182
m10_q_l1,m10_q_l1,7,8,l1,k5,20.251007
m10_q_l1,m10_q_l1,3,4,l1,k2,19.726949
m10_q_l1,m10_q_l1,9,10,l1,k1,19.33621
m2_q_l2,m2_q_l2,4,5,l1,k2,19.245592
m10_q_l1,m10_q_l1,6,7,l1,k3,18.567451
m5_q_l2,m5_q_l2,1,2,l1,k5,18.299154
m1_q_l1,m1_q_l1,8,9,l1,k2,18.130435
m10_q_l1,m10_q_l1,2,3,l1,k1,17.300996
m1_q_l1,m1_q_l1,11,12,l1,k3,17.136794
m1_q_l1,m1_q_l1,5,6,l1,k4,16.721418
m1_q_l1,m1_q_l1,6,7,l1,k4,16.721418
m1_q_l1,m1_q_l1,1,2,l1,k3,15.848935
m10_q_l1,m10_q_l1,7,8,l1,k1,15.788877
m10_q_l1,m10_q_l1,3,4,l1,k5,15.614581
m1_q_l1,m1_q_l1,6,7,l1,k5,15.08905
m10_q_l1,m10_q_l1,4,5,l1,k1,14.950455
m10_q_l1,m10_q_l1,1,2,l1,k2,14.465962
m10_q_l1,m10_q_l1,9,10,l1,k5,13.960949
m1_q_l1,m1_q_l1,5,6,l1,k2,13.766746
m1_q_l1,m1_q_l1,2,3,l1,k3,13.089078
m4_q_l2,m4_q_l2,2,3,l1,k4,12.799007
m1_q_l1,m1_q_l1,8,9,l1,k4,11.708391
m1_q_l1,m1_q_l1,9,10,l1,k4,11.708391
m1_q_l1,m1_q_l1,3,4,l1,k5,11.238358
m10_q_l1,m10_q_l1,10,11,l1,k4,11.037557
m1_q_l1,m1_q_l1,8,9,l1,k5,8.6306989
m2_q_l2,m2_q_l2,2,3,l1,k2,7.5896522
