from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k3,54.270903
m9_q_l1,m9_q_l1,10,11,l1,k1,35.002344
m9_q_l1,m9_q_l1,10,11,l1,k3,31.561033
m5_q_l2,m5_q_l2,9,10,l1,k5,31.014401
m9_q_l1,m9_q_l1,3,4,l1,k5,24.259299
m9_q_l1,m9_q_l1,8,9,l1,k2,21.924059
m9_q_l1,m9_q_l1,11,12,l1,k4,17.47701
m9_q_l1,m9_q_l1,11,12,l1,k1,17.392472
m9_q_l1,m9_q_l1,9,10,l1,k3,17.334833
m3_q_l2,m3_q_l2,7,8,l1,k3,17.226351
m1_q_l2,m1_q_l2,9,10,l1,k1,16.333933
m3_q_l2,m3_q_l2,6,7,l1,k3,15.536056
m9_q_l1,m9_q_l1,8,9,l1,k4,15.140464
m9_q_l1,m9_q_l1,4,5,l1,k3,14.291741
m5_q_l2,m5_q_l2,8,9,l1,k5,13.961232
m9_q_l1,m9_q_l1,7,8,l1,k1,13.127827
m9_q_l1,m9_q_l1,2,3,l1,k5,13.109451
m5_q_l2,m5_q_l2,3,4,l1,k5,13.095679
m9_q_l1,m9_q_l1,6,7,l1,k4,12.751165
m9_q_l1,m9_q_l1,10,11,l1,k2,12.490531
m9_q_l1,m9_q_l1,8,9,l1,k5,10.770749
m9_q_l1,m9_q_l1,9,10,l1,k5,10.770749
m2_q_l2,m2_q_l2,10,11,l1,k2,9.0782053
m9_q_l1,m9_q_l1,5,6,l1,k2,7.3457859
m5_q_l2,m5_q_l2,7,8,l1,k5,6.6409569
m4_q_l2,m4_q_l2,3,4,l1,k4,6.0739915
m4_q_l2,m4_q_l2,1,2,l1,k4,5.8534071
m3_q_l2,m3_q_l2,4,5,l1,k3,5.8441794
m4_q_l2,m4_q_l2,6,7,l1,k4,5.2568234
m3_q_l2,m3_q_l2,2,3,l1,k3,5.0099079
m9_q_l1,m9_q_l1,3,4,l1,k3,3.6573709
m9_q_l1,m9_q_l1,4,5,l1,k1,3.2449984
m2_q_l2,m2_q_l2,8,9,l1,k2,2.8220291
m9_q_l1,m9_q_l1,1,2,l1,k4,2.5504938
m9_q_l1,m9_q_l1,7,8,l1,k3,2.4747419
m9_q_l1,m9_q_l1,4,5,l1,k2,0.57059696
