from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,226.18254
m4_q_l2,m4_q_l2,9,10,l1,k4,209.6484
m3_q_l2,m3_q_l2,8,9,l1,k3,208.75702
m1_q_l2,m1_q_l2,11,12,l1,k1,200.0
m3_q_l2,m3_q_l2,11,12,l1,k3,200.0
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m5_q_l2,m5_q_l2,11,12,l1,k5,189.28333
m3_q_l2,m3_q_l2,10,11,l1,k3,180.71382
m3_q_l2,m3_q_l2,9,10,l1,k3,180.39808
m4_q_l2,m4_q_l2,8,9,l1,k4,173.15193
m5_q_l2,m5_q_l2,10,11,l1,k5,172.85143
m4_q_l2,m4_q_l2,7,8,l1,k4,166.9412
m3_q_l2,m3_q_l2,7,8,l1,k3,166.25134
m5_q_l2,m5_q_l2,9,10,l1,k5,160.32922
m5_q_l2,m5_q_l2,8,9,l1,k5,152.99497
m1_q_l2,m1_q_l2,10,11,l1,k1,145.95374
m5_q_l2,m5_q_l2,7,8,l1,k5,131.98869
m3_q_l2,m3_q_l2,6,7,l1,k3,130.61525
m10_q_l1,m10_q_l1,7,8,l1,k2,130.00302
m4_q_l2,m4_q_l2,6,7,l1,k4,118.96574
m1_q_l2,m1_q_l2,9,10,l1,k1,115.42229
m3_q_l2,m3_q_l2,5,6,l1,k3,114.52362
m10_q_l1,m10_q_l1,11,12,l1,k2,111.87968
m10_q_l1,m10_q_l1,6,7,l1,k2,109.5002
m10_q_l1,m10_q_l1,8,9,l1,k2,107.60428
m10_q_l1,m10_q_l1,5,6,l1,k2,92.812513
m1_q_l1,m1_q_l1,11,12,l1,k5,89.761434
m10_q_l1,m10_q_l1,6,7,l1,k5,82.506529
m5_q_l2,m5_q_l2,6,7,l1,k5,80.651063
m10_q_l1,m10_q_l1,5,6,l1,k5,68.483155
m4_q_l2,m4_q_l2,4,5,l1,k4,68.038921
m10_q_l1,m10_q_l1,10,11,l1,k2,67.892816
m1_q_l1,m1_q_l1,10,11,l1,k5,66.362462
m10_q_l1,m10_q_l1,2,3,l1,k4,65.352273
m1_q_l1,m1_q_l1,7,8,l1,k1,65.143304
m1_q_l1,m1_q_l1,3,4,l1,k1,64.775148
m3_q_l2,m3_q_l2,4,5,l1,k3,64.154548
m1_q_l2,m1_q_l2,8,9,l1,k1,59.116426
m4_q_l2,m4_q_l2,5,6,l1,k4,58.290689
m1_q_l1,m1_q_l1,11,12,l1,k4,56.609424
m1_q_l1,m1_q_l1,9,10,l1,k4,52.439532
m10_q_l1,m10_q_l1,9,10,l1,k2,51.76805
m1_q_l1,m1_q_l1,10,11,l1,k2,51.541527
m10_q_l1,m10_q_l1,1,2,l1,k4,50.144489
m10_q_l1,m10_q_l1,11,12,l1,k4,48.120322
m1_q_l1,m1_q_l1,3,4,l1,k3,47.342483
m1_q_l1,m1_q_l1,4,5,l1,k3,47.342483
m4_q_l2,m4_q_l2,3,4,l1,k4,46.518008
m10_q_l1,m10_q_l1,3,4,l1,k1,44.791828
m1_q_l1,m1_q_l1,6,7,l1,k1,44.577469
m1_q_l2,m1_q_l2,2,3,l1,k1,44.227392
m10_q_l1,m10_q_l1,10,11,l1,k1,43.581693
m10_q_l1,m10_q_l1,4,5,l1,k2,40.402911
m1_q_l1,m1_q_l1,2,3,l1,k2,39.716225
m1_q_l1,m1_q_l1,5,6,l1,k4,39.516589
m1_q_l1,m1_q_l1,6,7,l1,k4,39.516589
m1_q_l1,m1_q_l1,8,9,l1,k4,39.512613
m10_q_l1,m10_q_l1,7,8,l1,k5,39.463679
m1_q_l1,m1_q_l1,10,11,l1,k4,36.269397
m1_q_l1,m1_q_l1,9,10,l1,k5,35.55849
m1_q_l1,m1_q_l1,2,3,l1,k3,32.07237
m1_q_l1,m1_q_l1,5,6,l1,k2,29.487899
m1_q_l1,m1_q_l1,4,5,l1,k5,29.121679
m10_q_l1,m10_q_l1,9,10,l1,k3,28.773915
m1_q_l2,m1_q_l2,5,6,l1,k1,28.734797
m3_q_l2,m3_q_l2,3,4,l1,k3,26.073946
m10_q_l1,m10_q_l1,9,10,l1,k1,25.545978
m1_q_l2,m1_q_l2,7,8,l1,k1,25.272108
m2_q_l2,m2_q_l2,10,11,l1,k2,24.645232
m10_q_l1,m10_q_l1,8,9,l1,k5,23.825139
m10_q_l1,m10_q_l1,9,10,l1,k5,23.825139
m10_q_l1,m10_q_l1,5,6,l1,k4,23.472287
m10_q_l1,m10_q_l1,4,5,l1,k1,22.003148
m10_q_l1,m10_q_l1,6,7,l1,k3,21.454845
m1_q_l1,m1_q_l1,8,9,l1,k2,21.152146
m1_q_l2,m1_q_l2,1,2,l1,k1,20.840403
m10_q_l1,m10_q_l1,8,9,l1,k1,20.543601
m5_q_l2,m5_q_l2,3,4,l1,k5,20.367975
m10_q_l1,m10_q_l1,3,4,l1,k5,19.432731
m1_q_l1,m1_q_l1,9,10,l1,k3,19.132718
m5_q_l2,m5_q_l2,4,5,l1,k5,19.030818
m1_q_l1,m1_q_l1,1,2,l1,k3,17.590754
m4_q_l2,m4_q_l2,2,3,l1,k4,17.249457
m1_q_l2,m1_q_l2,4,5,l1,k1,16.241286
m5_q_l2,m5_q_l2,5,6,l1,k5,15.017158
m5_q_l2,m5_q_l2,1,2,l1,k5,14.76305
m10_q_l1,m10_q_l1,10,11,l1,k4,14.749627
m10_q_l1,m10_q_l1,2,3,l1,k1,14.713595
m1_q_l1,m1_q_l1,9,10,l1,k2,13.846378
m10_q_l1,m10_q_l1,7,8,l1,k1,13.809746
m1_q_l1,m1_q_l1,4,5,l1,k2,13.802426
m1_q_l1,m1_q_l1,11,12,l1,k3,13.629142
m10_q_l1,m10_q_l1,1,2,l1,k2,13.602969
m10_q_l1,m10_q_l1,4,5,l1,k4,13.044307
m1_q_l1,m1_q_l1,3,4,l1,k5,12.822469
m3_q_l2,m3_q_l2,2,3,l1,k3,8.8543627
m1_q_l1,m1_q_l1,4,5,l1,k4,6.5443605
m10_q_l1,m10_q_l1,4,5,l1,k5,6.2688492
m2_q_l2,m2_q_l2,8,9,l1,k2,5.7805198
m2_q_l2,m2_q_l2,3,4,l1,k2,5.7511115
m1_q_l1,m1_q_l1,5,6,l1,k3,5.550074
m1_q_l1,m1_q_l1,8,9,l1,k5,4.5210196
m10_q_l1,m10_q_l1,3,4,l1,k2,3.4149785
m2_q_l2,m2_q_l2,5,6,l1,k2,1.6505068
