from,to,t,l,k,flow
m1_q_l1,ss,11,l1,k4,56.274061
m2_in,m2_q_l1,1,l1,k3,56.009079
m2_q_l1,ss,1,l1,k3,56.009079
m10_q_l1,ss,4,l1,k1,55.919579
m1_q_l1,ss,3,l1,k3,53.746465
m2_in,m2_q_l1,7,l1,k1,53.412107
m2_q_l1,ss,7,l1,k1,53.412107
m10_q_l1,ss,6,l1,k1,51.526035
m10_q_l1,ss,12,l1,k2,51.233219
m3_in,m3_q_l1,9,l1,k2,50.217521
m1_in,m1_q_l1,10,l1,k2,49.724184
m2_in,m2_q_l1,5,l1,k4,48.764327
m2_in,m2_q_l1,4,l1,k1,48.655447
m5_in,m5_q_l2,6,l1,k5,48.589373
m1_q_l1,ss,5,l1,k3,46.523524
m2_q_l1,ss,2,l1,k4,45.295363
m10_in,m10_q_l1,8,l1,k1,44.982007
m10_q_l1,ss,8,l1,k1,44.982007
m2_in,m2_q_l2,2,l2,k1,44.707192
m2_q_l2,ss,2,l2,k1,44.707192
m3_in,m3_q_l1,4,l1,k2,44.572196
m3_in,m3_q_l1,11,l1,k2,44.542337
m3_q_l1,ss,4,l1,k1,43.922692
m1_q_l1,ss,2,l1,k5,42.480684
m3_in,m3_q_l1,6,l1,k2,42.203479
m10_in,m10_q_l1,6,l1,k1,42.114925
m1_in,m1_q_l2,3,l2,k5,42.112706
m1_q_l2,ss,3,l2,k5,42.112706
m1_in,m1_q_l1,3,l1,k5,41.931549
m3_in,m3_q_l1,3,l1,k2,41.767546
m5_in,m5_q_l2,3,l2,k3,41.587593
m5_q_l2,ss,3,l2,k3,41.587593
m1_in,m1_q_l2,10,l2,k3,41.526273
m1_q_l2,ss,10,l2,k3,41.526273
m3_q_l1,ss,7,l1,k5,41.202518
m8_in,m8_q_l2,2,l2,k5,40.871741
m8_q_l2,ss,2,l2,k5,40.871741
m2_in,m2_q_l1,10,l1,k1,40.673011
m1_in,m1_q_l1,10,l1,k3,40.613859
m4_in,m4_q_l2,7,l2,k3,40.601382
m4_q_l2,ss,7,l2,k3,40.601382
m1_q_l1,ss,6,l1,k4,40.330053
m1_q_l1,ss,8,l1,k2,39.986781
m2_in,m2_q_l2,7,l2,k5,39.902303
m2_q_l2,ss,7,l2,k5,39.902303
m1_in,m1_q_l2,2,l2,k2,39.783379
m1_q_l2,ss,2,l2,k2,39.783379
m10_q_l1,ss,10,l1,k1,39.53977
m3_in,m3_q_l1,1,l1,k5,39.43218
m3_q_l1,ss,1,l1,k5,39.43218
m1_in,m1_q_l1,3,l1,k3,39.401512
m1_in,m1_q_l1,11,l1,k5,39.158462
m7_in,m7_q_l2,4,l2,k2,38.899463
m7_q_l2,ss,4,l2,k2,38.899463
m10_in,m10_q_l1,5,l1,k3,38.803576
m10_q_l1,ss,5,l1,k3,38.803576
m3_q_l1,ss,7,l1,k2,38.797482
m10_q_l1,ss,3,l1,k2,38.475707
m10_in,m10_q_l1,4,l1,k1,38.332969
m9_in,m9_q_l2,1,l2,k2,38.17528
m9_q_l2,ss,1,l2,k2,38.17528
m3_in,m3_q_l2,6,l2,k5,38.171854
m3_q_l2,ss,6,l2,k5,38.171854
m8_in,m8_q_l2,11,l2,k1,38.166639
m8_q_l2,ss,11,l2,k1,38.166639
m2_in,m2_q_l2,9,l2,k3,38.029483
m2_q_l2,ss,9,l2,k3,38.029483
m2_in,m2_q_l1,6,l1,k3,38.0219
m2_q_l1,ss,6,l1,k3,38.0219
m2_in,m2_q_l1,8,l1,k2,37.892262
m2_q_l1,ss,9,l1,k2,37.892262
m6_in,m6_q_l2,6,l2,k1,37.853182
m6_q_l2,ss,6,l2,k1,37.853182
m7_in,m7_q_l2,10,l2,k1,37.707472
m7_q_l2,ss,10,l2,k1,37.707472
m5_in,m5_q_l2,5,l2,k2,37.676515
m5_q_l2,ss,5,l2,k2,37.676515
m6_in,m6_q_l2,1,l2,k1,37.60323
m6_q_l2,ss,1,l2,k1,37.60323
m10_in,m10_q_l2,8,l2,k1,37.595682
m10_q_l2,ss,8,l2,k1,37.595682
m7_in,m7_q_l2,4,l2,k4,37.527645
m7_q_l2,ss,4,l2,k4,37.527645
m3_in,m3_q_l2,7,l2,k4,37.466039
m3_q_l2,ss,7,l2,k4,37.466039
m9_in,m9_q_l2,10,l2,k5,37.387483
m9_q_l2,ss,10,l2,k5,37.387483
m10_in,m10_q_l1,10,l1,k4,37.32914
m2_in,m2_q_l1,6,l1,k1,37.258131
m2_q_l1,ss,6,l1,k1,37.258131
m1_in,m1_q_l2,5,l2,k3,37.117249
m1_q_l2,ss,5,l2,k3,37.117249
m1_in,m1_q_l2,6,l2,k4,37.009571
m1_q_l2,ss,6,l2,k4,37.009571
m10_in,m10_q_l2,9,l2,k1,36.825658
m10_q_l2,ss,9,l2,k1,36.825658
m10_in,m10_q_l1,6,l1,k3,36.779401
m2_in,m2_q_l2,5,l2,k5,36.633769
m2_q_l2,ss,5,l2,k5,36.633769
m3_q_l1,ss,12,l1,k5,36.580424
m2_in,m2_q_l2,2,l2,k4,36.54566
m2_q_l2,ss,2,l2,k4,36.54566
m8_in,m8_q_l2,6,l2,k3,36.531464
m8_q_l2,ss,6,l2,k3,36.531464
m8_in,m8_q_l2,8,l2,k5,36.531237
m8_q_l2,ss,8,l2,k5,36.531237
m1_in,m1_q_l2,3,l2,k2,36.478233
m1_q_l2,ss,3,l2,k2,36.478233
m2_q_l1,ss,3,l1,k5,36.329417
m2_q_l1,ss,9,l1,k3,36.299981
m1_in,m1_q_l2,9,l2,k4,36.177577
m1_q_l2,ss,9,l2,k4,36.177577
m6_in,m6_q_l2,10,l2,k2,36.113536
m6_q_l2,ss,10,l2,k2,36.113536
m3_q_l1,ss,4,l1,k4,36.077308
m3_in,m3_q_l2,9,l2,k2,36.064066
m3_q_l2,ss,9,l2,k2,36.064066
m10_in,m10_q_l1,1,l1,k1,35.971659
m10_q_l1,ss,1,l1,k1,35.971659
m3_in,m3_q_l2,10,l2,k4,35.960015
m3_q_l2,ss,10,l2,k4,35.960015
m10_in,m10_q_l1,11,l1,k4,35.905444
m3_q_l1,ss,2,l1,k4,35.901529
m10_in,m10_q_l2,3,l2,k1,35.839089
m10_q_l2,ss,3,l2,k1,35.839089
m2_in,m2_q_l1,3,l1,k3,35.793298
m5_in,m5_q_l2,7,l2,k2,35.708246
m5_q_l2,ss,7,l2,k2,35.708246
m10_in,m10_q_l2,11,l2,k4,35.699818
m10_q_l2,ss,11,l2,k4,35.699818
m1_in,m1_q_l2,8,l2,k4,35.638771
m1_q_l2,ss,8,l2,k4,35.638771
m2_in,m2_q_l2,4,l2,k5,35.515262
m2_q_l2,ss,4,l2,k5,35.515262
m1_in,m1_q_l1,9,l1,k5,35.508571
m10_in,m10_q_l2,9,l2,k5,35.252679
m10_q_l2,ss,9,l2,k5,35.252679
m5_in,m5_q_l2,4,l2,k1,35.210828
m5_q_l2,ss,4,l2,k1,35.210828
m2_in,m2_q_l1,3,l1,k4,35.077185
m2_q_l1,ss,3,l1,k4,35.077185
m10_in,m10_q_l1,5,l1,k1,35.030012
m1_in,m1_q_l2,5,l2,k4,34.991313
m1_q_l2,ss,5,l2,k4,34.991313
m1_in,m1_q_l1,1,l1,k2,34.982541
m1_q_l1,ss,1,l1,k2,34.982541
m2_q_l1,ss,12,l1,k5,34.981574
m10_q_l1,ss,3,l1,k3,34.924943
m4_in,m4_q_l2,11,l2,k5,34.883396
m4_q_l2,ss,11,l2,k5,34.883396
m10_in,m10_q_l1,2,l1,k2,34.809895
m3_in,m3_q_l1,9,l1,k4,34.26448
m7_in,m7_q_l2,1,l2,k3,34.192544
m7_q_l2,ss,1,l2,k3,34.192544
m5_in,m5_q_l2,8,l2,k3,34.125425
m5_q_l2,ss,8,l2,k3,34.125425
m5_in,m5_q_l2,8,l2,k2,34.112886
m5_q_l2,ss,8,l2,k2,34.112886
m8_in,m8_q_l2,6,l2,k2,34.028734
m8_q_l2,ss,6,l2,k2,34.028734
m3_in,m3_q_l1,7,l1,k2,33.973012
m1_q_l1,ss,5,l1,k2,33.476476
m7_in,m7_q_l2,1,l2,k4,33.405035
m7_q_l2,ss,1,l2,k4,33.405035
m10_in,m10_q_l1,8,l1,k3,33.264224
m10_q_l1,ss,8,l1,k3,33.264224
m6_in,m6_q_l2,11,l2,k2,33.256262
m6_q_l2,ss,11,l2,k2,33.256262
m2_in,m2_q_l2,4,l2,k3,33.150502
m2_q_l2,ss,4,l2,k3,33.150502
m1_in,m1_q_l1,6,l1,k4,33.018679
m1_in,m1_q_l2,1,l2,k5,32.925503
m1_q_l2,ss,1,l2,k5,32.925503
m5_in,m5_q_l2,5,l2,k1,32.757458
m5_q_l2,ss,5,l2,k1,32.757458
m10_in,m10_q_l2,2,l2,k3,32.655754
m10_q_l2,ss,2,l2,k3,32.655754
m5_in,m5_q_l2,11,l2,k3,31.934039
m5_q_l2,ss,11,l2,k3,31.934039
m3_in,m3_q_l2,7,l2,k1,31.755909
m3_q_l2,ss,7,l2,k1,31.755909
m3_q_l2,ss,12,l1,k3,31.195379
m3_q_l1,ss,12,l1,k2,31.185738
m9_in,m9_q_l2,3,l2,k4,30.550204
m9_q_l2,ss,3,l2,k4,30.550204
m3_in,m3_q_l1,8,l1,k1,29.71735
m10_in,m10_q_l1,2,l1,k1,29.253083
m10_q_l1,ss,2,l1,k1,29.253083
m2_in,m2_q_l1,5,l1,k1,28.885014
m2_in,m2_q_l1,2,l1,k4,28.661198
m10_in,m10_q_l1,7,l1,k3,28.623782
m10_q_l1,ss,6,l1,k4,28.473965
m10_q_l1,ss,10,l1,k4,28.250096
m3_in,m3_q_l1,7,l1,k4,27.935359
m2_in,m2_q_l1,4,l1,k4,27.059951
m3_in,m3_q_l1,4,l1,k1,26.835284
m2_q_l1,ss,7,l1,k4,26.587893
m3_in,m3_q_l1,6,l1,k5,26.514876
m2_in,m2_q_l1,9,l1,k4,26.327039
m4_q_l2,ss,12,l1,k4,26.292833
m1_in,m1_q_l1,1,l1,k4,25.780308
m1_q_l1,ss,1,l1,k4,25.780308
