from,to,t_from,t_to,l,k,flow
m2_q_l2,m2_q_l2,6,7,l1,k2,12.405301
m2_q_l2,m2_q_l2,7,8,l1,k2,11.706347
m3_q_l1,m3_q_l1,3,4,l1,k3,11.160003
m3_q_l1,m3_q_l1,4,5,l1,k3,11.160003
m3_q_l1,m3_q_l1,5,6,l1,k3,11.160003
m3_q_l1,m3_q_l1,6,7,l1,k3,11.160003
m1_q_l2,m1_q_l2,1,2,l1,k1,10.367994
m2_q_l2,m2_q_l2,3,4,l1,k2,9.9641015
m10_q_l1,m10_q_l1,5,6,l1,k1,9.4111099
m1_q_l2,m1_q_l2,7,8,l1,k1,8.5856882
m3_q_l1,m3_q_l1,11,12,l1,k1,7.8078075
m1_q_l1,m1_q_l1,5,6,l1,k4,7.3113744
m1_q_l1,m1_q_l1,9,10,l1,k2,6.7696846
m1_q_l1,m1_q_l1,3,4,l1,k3,6.3939786
m3_q_l2,m3_q_l2,8,9,l1,k3,6.3914327
m4_q_l2,m4_q_l2,6,7,l1,k4,6.3539021
m3_q_l1,m3_q_l1,6,7,l1,k2,4.8244691
m2_q_l1,m2_q_l1,5,6,l1,k2,4.7199691
m10_q_l1,m10_q_l1,3,4,l1,k4,4.0186991
m10_q_l1,m10_q_l1,7,8,l1,k4,1.7537691
m1_q_l1,m1_q_l1,2,3,l1,k5,1.0416311
m2_q_l1,m2_q_l1,2,3,l1,k2,0.90177788
