metric,mean,std,min,max
objective,59628.838694602775,18454.981496446246,43636.86452599999,79822.32198415995
deployed_count,1.0,1.0,0.0,2.0
unmet_demand_pct,0.0,0.0,0.0,0.0
runtime_seconds,118.04555519421895,87.9402194554335,16.85602331161499,175.9881899356842
iterations,14.0,10.392304845413264,2.0,20.0
