from,to,t_from,t_to,l,k,flow
m2_q_l2,m2_q_l2,10,11,l1,k2,24.924461
m10_q_l1,m10_q_l1,8,9,l1,k1,19.702745
m4_q_l2,m4_q_l2,3,4,l1,k4,17.861506
m5_q_l2,m5_q_l2,9,10,l1,k5,17.6953
m10_q_l1,m10_q_l1,6,7,l1,k3,15.06018
m1_q_l1,m1_q_l1,11,12,l1,k5,14.950748
m2_q_l1,m2_q_l1,7,8,l1,k5,12.124091
m10_q_l1,m10_q_l1,11,12,l1,k4,6.8438502
m2_q_l1,m2_q_l1,9,10,l1,k1,6.366017
m10_q_l1,m10_q_l1,10,11,l1,k3,5.8618667
m2_q_l1,m2_q_l1,8,9,l1,k5,4.7294709
m4_q_l2,m4_q_l2,9,10,l1,k4,4.0468131
m3_q_l2,m3_q_l2,8,9,l1,k3,2.8405307
m10_q_l1,m10_q_l1,6,7,l1,k5,1.1380779
m1_q_l2,m1_q_l2,3,4,l1,k1,1.1054758
