from,to,t_from,t_to,l,k,flow
m10_q_l1,m10_q_l1,11,12,l1,k2,69.978685
m2_q_l2,m2_q_l2,10,11,l1,k2,57.803805
m2_q_l1,m2_q_l1,7,8,l1,k4,46.5944
m2_q_l1,m2_q_l1,8,9,l1,k5,43.321921
m2_q_l1,m2_q_l1,6,7,l1,k4,37.348606
m1_q_l1,m1_q_l1,11,12,l1,k5,36.352647
m10_q_l1,m10_q_l1,8,9,l1,k1,36.332633
m1_q_l1,m1_q_l1,2,3,l1,k3,35.218478
m2_q_l1,m2_q_l1,10,11,l1,k4,35.11558
m10_q_l1,m10_q_l1,10,11,l1,k3,34.653537
m10_q_l1,m10_q_l1,6,7,l1,k5,34.167825
m10_q_l1,m10_q_l1,11,12,l1,k1,31.090722
m3_q_l2,m3_q_l2,8,9,l1,k3,29.974424
m2_q_l1,m2_q_l1,7,8,l1,k5,27.802378
m1_q_l1,m1_q_l1,9,10,l1,k4,27.13999
m10_q_l1,m10_q_l1,11,12,l1,k4,25.100719
m4_q_l2,m4_q_l2,1,2,l1,k4,23.713825
m1_q_l1,m1_q_l1,7,8,l1,k2,23.520183
m2_q_l1,m2_q_l1,8,9,l1,k3,22.859702
m10_q_l1,m10_q_l1,7,8,l1,k3,22.166697
m2_q_l2,m2_q_l2,9,10,l1,k2,20.204455
m10_q_l1,m10_q_l1,5,6,l1,k5,19.900295
m10_q_l1,m10_q_l1,6,7,l1,k3,19.841134
m1_q_l1,m1_q_l1,8,9,l1,k4,19.693931
m1_q_l1,m1_q_l1,10,11,l1,k5,19.594812
m2_q_l1,m2_q_l1,5,6,l1,k5,18.328651
m2_q_l1,m2_q_l1,9,10,l1,k4,18.161406
m3_q_l2,m3_q_l2,7,8,l1,k3,18.070555
m1_q_l1,m1_q_l1,10,11,l1,k2,17.905935
m10_q_l1,m10_q_l1,5,6,l1,k2,17.888566
m3_q_l2,m3_q_l2,9,10,l1,k3,17.854123
m5_q_l2,m5_q_l2,9,10,l1,k5,17.837278
m10_q_l1,m10_q_l1,9,10,l1,k1,17.166886
m1_q_l1,m1_q_l1,6,7,l1,k4,16.835029
m2_q_l1,m2_q_l1,2,3,l1,k4,16.420777
m4_q_l2,m4_q_l2,3,4,l1,k4,16.192073
m2_q_l1,m2_q_l1,9,10,l1,k1,16.073362
m10_q_l1,m10_q_l1,10,11,l1,k2,15.843574
m2_q_l1,m2_q_l1,9,10,l1,k5,15.297769
m1_q_l1,m1_q_l1,4,5,l1,k3,14.959508
m10_q_l1,m10_q_l1,10,11,l1,k4,14.812221
m4_q_l2,m4_q_l2,9,10,l1,k4,13.896271
m2_q_l1,m2_q_l1,11,12,l1,k5,13.584204
m2_q_l2,m2_q_l2,3,4,l1,k2,13.479752
m1_q_l1,m1_q_l1,3,4,l1,k5,13.366852
m1_q_l1,m1_q_l1,11,12,l1,k4,12.593168
m2_q_l1,m2_q_l1,5,6,l1,k4,12.537953
m3_q_l2,m3_q_l2,6,7,l1,k3,8.9306496
m2_q_l1,m2_q_l1,6,7,l1,k5,8.7175163
m2_q_l1,m2_q_l1,7,8,l1,k3,7.217421
m1_q_l1,m1_q_l1,4,5,l1,k4,6.7682428
m2_q_l1,m2_q_l1,11,12,l1,k2,6.3795446
m1_q_l1,m1_q_l1,9,10,l1,k5,6.3572539
m1_q_l1,m1_q_l1,7,8,l1,k1,6.0525915
m3_q_l2,m3_q_l2,4,5,l1,k3,5.8456714
m2_q_l1,m2_q_l1,1,2,l1,k1,5.626271
m2_q_l1,m2_q_l1,11,12,l1,k1,4.3828088
m1_q_l2,m1_q_l2,3,4,l1,k1,2.9293309
m1_q_l1,m1_q_l1,10,11,l1,k3,2.3287455
m2_q_l2,m2_q_l2,5,6,l1,k2,1.9990016
m2_q_l1,m2_q_l1,4,5,l1,k3,1.4567351
m3_q_l2,m3_q_l2,1,2,l1,k3,0.8661533
m10_q_l1,m10_q_l1,8,9,l1,k2,0.53714262
m4_q_l2,m4_q_l2,4,5,l1,k4,0.46664497
m1_q_l2,m1_q_l2,7,8,l1,k1,0.23059089
m1_q_l2,m1_q_l2,9,10,l1,k1,0.027349621
