from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,214.81909
m1_q_l2,m1_q_l2,11,12,l1,k1,200.0
m3_q_l2,m3_q_l2,11,12,l1,k3,200.0
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m3_q_l2,m3_q_l2,8,9,l1,k3,197.45133
m4_q_l2,m4_q_l2,9,10,l1,k4,196.55202
m3_q_l2,m3_q_l2,10,11,l1,k3,187.85691
m3_q_l2,m3_q_l2,9,10,l1,k3,185.19904
m4_q_l2,m4_q_l2,8,9,l1,k4,160.80379
m3_q_l2,m3_q_l2,7,8,l1,k3,158.69849
m4_q_l2,m4_q_l2,7,8,l1,k4,155.19842
m1_q_l2,m1_q_l2,10,11,l1,k1,147.97687
m5_q_l2,m5_q_l2,11,12,l1,k5,129.64167
m10_q_l1,m10_q_l1,7,8,l1,k2,128.11808
m5_q_l2,m5_q_l2,10,11,l1,k5,126.69952
m10_q_l1,m10_q_l1,8,9,l1,k2,124.43514
m3_q_l2,m3_q_l2,6,7,l1,k3,123.38045
m4_q_l2,m4_q_l2,6,7,l1,k4,121.21069
m5_q_l2,m5_q_l2,9,10,l1,k5,117.93841
m10_q_l1,m10_q_l1,11,12,l1,k2,116.71202
m1_q_l2,m1_q_l2,9,10,l1,k1,115.21115
m3_q_l2,m3_q_l2,5,6,l1,k3,112.83463
m5_q_l2,m5_q_l2,8,9,l1,k5,111.77129
m10_q_l1,m10_q_l1,6,7,l1,k2,110.36666
m1_q_l1,m1_q_l1,11,12,l1,k5,106.94708
m10_q_l1,m10_q_l1,5,6,l1,k2,95.053611
m5_q_l2,m5_q_l2,7,8,l1,k5,91.268152
m10_q_l1,m10_q_l1,10,11,l1,k2,79.57941
m1_q_l1,m1_q_l1,10,11,l1,k5,77.994529
m3_q_l2,m3_q_l2,4,5,l1,k3,70.150093
m1_q_l2,m1_q_l2,8,9,l1,k1,69.558213
m10_q_l1,m10_q_l1,6,7,l1,k5,68.4084
m4_q_l2,m4_q_l2,5,6,l1,k4,65.873164
m1_q_l1,m1_q_l1,7,8,l1,k1,65.071652
m4_q_l2,m4_q_l2,4,5,l1,k4,64.019461
m10_q_l1,m10_q_l1,9,10,l1,k2,64.017027
m1_q_l1,m1_q_l1,6,7,l1,k1,59.788734
m1_q_l1,m1_q_l1,3,4,l1,k1,59.003897
m10_q_l1,m10_q_l1,2,3,l1,k4,58.559813
m5_q_l2,m5_q_l2,6,7,l1,k5,55.253192
m10_q_l1,m10_q_l1,5,6,l1,k5,53.896713
m1_q_l1,m1_q_l1,10,11,l1,k2,50.770764
m1_q_l1,m1_q_l1,3,4,l1,k3,49.950366
m1_q_l1,m1_q_l1,4,5,l1,k3,49.950366
m1_q_l1,m1_q_l1,9,10,l1,k4,48.719766
m1_q_l1,m1_q_l1,9,10,l1,k5,47.779245
m10_q_l1,m10_q_l1,4,5,l1,k2,46.348811
m10_q_l1,m10_q_l1,1,2,l1,k4,43.455921
m10_q_l1,m10_q_l1,11,12,l1,k4,43.287981
m4_q_l2,m4_q_l2,3,4,l1,k4,43.259004
m1_q_l2,m1_q_l2,5,6,l1,k1,39.502434
m1_q_l1,m1_q_l1,11,12,l1,k4,38.738353
m1_q_l2,m1_q_l2,2,3,l1,k1,38.73002
m10_q_l1,m10_q_l1,3,4,l1,k1,38.27959
m10_q_l1,m10_q_l1,7,8,l1,k5,36.540831
m1_q_l1,m1_q_l1,2,3,l1,k2,35.456303
m1_q_l2,m1_q_l2,7,8,l1,k1,35.136054
m1_q_l1,m1_q_l1,2,3,l1,k3,34.815309
m1_q_l1,m1_q_l1,8,9,l1,k4,34.756307
m10_q_l1,m10_q_l1,10,11,l1,k1,33.770103
m1_q_l2,m1_q_l2,4,5,l1,k1,30.755679
m10_q_l1,m10_q_l1,9,10,l1,k3,29.386958
m10_q_l1,m10_q_l1,5,6,l1,k4,28.705354
m1_q_l1,m1_q_l1,5,6,l1,k4,27.258295
m1_q_l1,m1_q_l1,6,7,l1,k4,27.258295
m3_q_l2,m3_q_l2,3,4,l1,k3,26.109792
m1_q_l1,m1_q_l1,5,6,l1,k2,25.069905
m10_q_l1,m10_q_l1,8,9,l1,k5,21.725868
m10_q_l1,m10_q_l1,9,10,l1,k5,21.725868
m10_q_l1,m10_q_l1,4,5,l1,k1,21.001574
m5_q_l2,m5_q_l2,3,4,l1,k5,20.183988
m5_q_l2,m5_q_l2,1,2,l1,k5,19.881525
m1_q_l1,m1_q_l1,9,10,l1,k2,19.562367
m1_q_l1,m1_q_l1,4,5,l1,k5,18.781013
