scenario,MAX_CSAM_FACILITIES,demand_mean,demand_scale,F_cost,SEED,objective,deployed_count,deployed_facilities,unmet_demand_pct,total_demand,iterations,runtime_seconds,experiment_dir
csam3_dm10.0_ds1.0_F100_s456,3,10.0,1.0,100,456,55427.32957264837,1,['m8'],0.0,11916.760794983726,20,153.05348873138428,experiments\2026-06-18_112515_sweep_csam3_dm10.0_ds1.0_F100_s456
csam3_dm10.0_ds1.0_F200_s456,3,10.0,1.0,200,456,55527.32957264837,1,['m8'],0.0,11916.760794983726,17,130.36133098602295,experiments\2026-06-18_112748_sweep_csam3_dm10.0_ds1.0_F200_s456
csam3_dm10.0_ds1.0_F25_s456,3,10.0,1.0,25,456,55352.32958014837,1,['m8'],0.0,11916.760794983726,20,145.74919390678406,experiments\2026-06-18_112022_sweep_csam3_dm10.0_ds1.0_F25_s456
csam3_dm10.0_ds1.0_F400_s456,3,10.0,1.0,400,456,55727.32957014837,1,['m8'],0.0,11916.760794983726,12,101.05112028121948,experiments\2026-06-18_112959_sweep_csam3_dm10.0_ds1.0_F400_s456
csam3_dm10.0_ds1.0_F50_s456,3,10.0,1.0,50,456,55377.32958014837,1,['m8'],0.0,11916.760794983726,20,146.51177525520325,experiments\2026-06-18_112248_sweep_csam3_dm10.0_ds1.0_F50_s456
