from,to,t,l,k,flow
m3_in,m3_q_l2,11,l1,k3,177.52836
m4_in,m4_q_l2,8,l1,k4,161.37931
m4_in,m4_q_l2,10,l1,k4,146.42071
m1_in,m1_q_l2,3,l1,k1,144.41082
m1_in,m1_q_l2,9,l1,k1,140.61505
m3_in,m3_q_l2,2,l1,k3,139.62644
m5_in,m5_q_l2,4,l1,k5,134.32599
m2_in,m2_q_l2,5,l1,k2,132.36596
m5_in,m5_q_l2,10,l1,k5,130.4956
m4_in,m4_q_l2,6,l1,k4,128.59899
m4_in,m4_q_l2,7,l1,k4,125.70307
m1_in,m1_q_l2,11,l1,k1,124.0177
m3_in,m3_q_l2,10,l1,k3,123.92462
m2_in,m2_q_l2,3,l1,k2,121.17846
m3_in,m3_q_l2,5,l1,k3,117.17674
m4_in,m4_q_l2,5,l1,k4,116.78199
m3_in,m3_q_l2,4,l1,k3,116.53081
m1_in,m1_q_l2,7,l1,k1,115.16993
m4_in,m4_q_l2,4,l1,k4,114.42516
m3_in,m3_q_l2,8,l1,k3,114.08913
m1_in,m1_q_l2,1,l1,k1,113.36761
m5_in,m5_q_l2,5,l1,k5,111.21096
m5_in,m5_q_l2,11,l1,k5,106.65481
m2_in,m2_q_l2,10,l1,k2,105.96684
m5_in,m5_q_l2,8,l1,k5,104.31873
m2_in,m2_q_l2,1,l1,k2,101.13089
m3_in,m3_q_l2,6,l1,k3,100.98604
m1_q_l2,ss,1,l1,k1,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_in,m1_q_l2,5,l1,k1,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_in,m1_q_l2,6,l1,k1,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_in,m2_q_l2,9,l1,k2,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_q_l2,ss,11,l1,k5,100.0
m2_in,m2_q_l2,2,l1,k2,98.86911
m2_in,m2_q_l2,11,l1,k2,98.476903
m2_in,m2_q_l2,7,l1,k2,96.960319
m5_in,m5_q_l2,9,l1,k5,95.681272
m4_in,m4_q_l2,9,l1,k4,89.277058
m2_in,m2_q_l1,6,l1,k5,87.623473
m2_in,m2_q_l2,8,l1,k2,86.974226
m1_in,m1_q_l2,2,l1,k1,86.632388
m3_in,m3_q_l2,9,l1,k3,85.910868
m1_in,m1_q_l2,8,l1,k1,84.830066
m2_in,m2_q_l2,6,l1,k2,83.699497
m4_q_l2,ss,12,l1,k4,81.198833
m3_q_l1,ss,6,l1,k2,80.0
m3_q_l1,ss,8,l1,k3,80.0
m2_q_l1,ss,8,l1,k4,80.0
m3_q_l1,ss,9,l1,k2,80.0
m3_q_l1,ss,10,l1,k4,80.0
m3_q_l1,ss,11,l1,k1,80.0
m2_q_l1,ss,11,l1,k5,80.0
m4_in,m4_q_l2,11,l1,k4,79.811371
m2_in,m2_q_l2,4,l1,k2,78.821538
m1_q_l1,ss,10,l1,k2,76.85062
m2_q_l1,ss,10,l1,k1,73.258451
m10_q_l1,ss,7,l1,k3,72.672854
m1_q_l1,ss,9,l1,k3,69.589743
m1_in,m1_q_l1,9,l1,k3,68.946157
m10_q_l1,ss,9,l1,k5,66.168717
m2_q_l1,ss,7,l1,k1,66.16193
m3_in,m3_q_l2,7,l1,k3,65.306412
m1_q_l1,ss,4,l1,k5,65.173133
m1_q_l1,ss,7,l1,k5,65.12097
m3_in,m3_q_l1,7,l1,k3,64.425936
m2_in,m2_q_l1,1,l1,k3,63.12792
m2_q_l1,ss,1,l1,k3,63.12792
m3_q_l1,ss,3,l1,k2,62.757704
m10_q_l1,ss,11,l1,k4,61.687397
m1_q_l1,ss,5,l1,k3,61.384867
m1_in,m1_q_l1,10,l1,k2,61.230213
m3_in,m3_q_l2,3,l1,k3,60.373562
m1_in,m1_q_l2,10,l1,k1,59.384949
m3_in,m3_q_l1,9,l1,k2,58.703669
m2_q_l1,ss,5,l1,k1,58.524213
m2_in,m2_q_l1,6,l1,k1,57.690461
m2_in,m2_q_l1,7,l1,k1,56.552818
m3_q_l1,ss,7,l1,k2,55.837873
m1_in,m1_q_l2,4,l1,k1,55.589183
m2_q_l1,ss,4,l1,k3,55.578878
m10_q_l1,ss,12,l1,k2,55.345548
m3_in,m3_q_l1,4,l1,k2,55.248764
m10_q_l1,ss,10,l1,k1,54.899266
m5_in,m5_q_l2,6,l1,k5,54.463052
m10_q_l1,ss,4,l1,k1,53.726739
m3_q_l1,ss,4,l1,k1,53.054403
m3_q_l2,ss,12,l1,k3,50.726492
m1_q_l1,ss,2,l1,k5,50.54663
