scenario,MAX_CSAM_FACILITIES,demand_mean,demand_scale,F_cost,SEED,objective,deployed_count,deployed_facilities,unmet_demand_pct,total_demand,iterations,runtime_seconds,experiment_dir
csam1_dm10.0_ds1.0_F100_s123,1,10.0,1.0,100,123,16144.341223899995,1,['m9'],0.0,3987.237260366335,20,20.74753475189209,experiments\2026-06-18_110658_sweep_csam1_dm10.0_ds1.0_F100_s123
csam1_dm10.0_ds1.0_F100_s456,1,10.0,1.0,100,456,15419.931175900003,1,['m9'],0.0,4008.884585155502,20,20.95964813232422,experiments\2026-06-18_110634_sweep_csam1_dm10.0_ds1.0_F100_s456
csam3_dm10.0_ds1.0_F100_s123,3,10.0,1.0,100,123,16144.341223899995,1,['m9'],0.0,3987.237260366335,20,20.961638927459717,experiments\2026-06-18_110740_sweep_csam3_dm10.0_ds1.0_F100_s123
csam3_dm10.0_ds1.0_F100_s456,3,10.0,1.0,100,456,15419.931175900003,1,['m9'],0.0,4008.884585155502,20,20.743083715438843,experiments\2026-06-18_110719_sweep_csam3_dm10.0_ds1.0_F100_s456
