from,to,t_from,t_to,l,k,flow
m4_q_l1,m4_q_l1,9,10,l1,k1,46.371747
m1_q_l2,m1_q_l2,10,11,l1,k1,42.86686
m10_q_l1,m10_q_l1,11,12,l1,k2,40.844622
m3_q_l2,m3_q_l2,5,6,l1,k3,36.713716
m3_q_l1,m3_q_l1,7,8,l1,k4,36.350854
m3_q_l1,m3_q_l1,8,9,l1,k1,35.208631
m2_q_l1,m2_q_l1,10,11,l1,k3,34.16988
m4_q_l1,m4_q_l1,7,8,l1,k3,30.563428
m2_q_l1,m2_q_l1,11,12,l1,k1,27.258634
m10_q_l1,m10_q_l1,6,7,l1,k3,24.454845
m4_q_l1,m4_q_l1,8,9,l1,k1,24.105766
m10_q_l1,m10_q_l1,9,10,l1,k5,22.090282
m4_q_l1,m4_q_l1,8,9,l1,k5,20.595009
m1_q_l1,m1_q_l1,6,7,l1,k4,20.446705
m1_q_l1,m1_q_l1,9,10,l1,k2,19.42845
m3_q_l1,m3_q_l1,6,7,l1,k5,19.428062
m3_q_l1,m3_q_l1,9,10,l1,k5,19.167248
m10_q_l1,m10_q_l1,7,8,l1,k2,19.024575
m1_q_l1,m1_q_l1,2,3,l1,k3,18.967849
m10_q_l1,m10_q_l1,10,11,l1,k3,18.416804
m4_q_l1,m4_q_l1,11,12,l1,k2,18.141054
m4_q_l1,m4_q_l1,2,3,l1,k1,18.098041
m10_q_l1,m10_q_l1,10,11,l1,k2,17.276613
m5_q_l2,m5_q_l2,8,9,l1,k5,16.381516
m3_q_l1,m3_q_l1,11,12,l1,k5,16.115847
m5_q_l2,m5_q_l2,7,8,l1,k5,15.85429
m1_q_l1,m1_q_l1,10,11,l1,k3,15.191788
m3_q_l1,m3_q_l1,7,8,l1,k1,14.68402
m2_q_l1,m2_q_l1,1,2,l1,k5,14.54907
m2_q_l1,m2_q_l1,6,7,l1,k4,14.393807
m4_q_l1,m4_q_l1,6,7,l1,k3,13.559284
m2_q_l1,m2_q_l1,1,2,l1,k4,12.392596
m3_q_l1,m3_q_l1,3,4,l1,k4,11.575213
m2_q_l1,m2_q_l1,11,12,l1,k4,11.549137
m2_q_l1,m2_q_l1,9,10,l1,k5,10.146918
m2_q_l1,m2_q_l1,8,9,l1,k4,9.4816946
m3_q_l1,m3_q_l1,10,11,l1,k2,8.7210758
m4_q_l1,m4_q_l1,3,4,l1,k3,8.6174479
m1_q_l1,m1_q_l1,11,12,l1,k5,8.3896176
m1_q_l1,m1_q_l1,10,11,l1,k5,8.1055212
m1_q_l1,m1_q_l1,7,8,l1,k5,6.2115637
m3_q_l1,m3_q_l1,6,7,l1,k3,6.1223874
m3_q_l1,m3_q_l1,8,9,l1,k5,5.1913178
m10_q_l1,m10_q_l1,2,3,l1,k1,5.1197838
m2_q_l1,m2_q_l1,11,12,l1,k5,4.767995
m10_q_l1,m10_q_l1,11,12,l1,k1,3.713223
m3_q_l2,m3_q_l2,6,7,l1,k3,3.3868513
m4_q_l1,m4_q_l1,5,6,l1,k2,3.1340947
m10_q_l1,m10_q_l1,9,10,l1,k1,2.8640539
m3_q_l1,m3_q_l1,11,12,l1,k4,2.5074662
m4_q_l1,m4_q_l1,5,6,l1,k3,1.6957411
m2_q_l2,m2_q_l2,3,4,l1,k2,1.0980171
m5_q_l2,m5_q_l2,9,10,l1,k5,0.6237573
m4_q_l2,m4_q_l2,7,8,l1,k4,0.18862094
