node,feasible_scenarios_deployed,feasible_n,deployment_pct
m1,225,234,96.15384615384616
m10,207,234,88.46153846153847
m2,153,234,65.38461538461539
m3,126,234,53.84615384615385
m4,54,234,23.076923076923077
m5,45,234,19.23076923076923
m9,9,234,3.8461538461538463
