scenario,status,feasible,MAX_CSAM_FACILITIES,demand_mean,demand_variance,F_cost,SEED,objective,subproblem_cost,deployment_cost,deployed_count,deployed_facilities,budget_slack,total_demand,unmet_demand,unmet_demand_pct,unmet_in,unmet_queue,iterations,runtime_seconds,run_id,experiment_dir,scenario_name,max_csam_facilities,seed,demand_scale,flow_files,report_files
csam3_dm18.0_dv4.0_F100_s42,infeasible_no_incumbent,False,3,18.0,4.0,100,42,,,0.0,,,,21692.117318042623,0.0,,0.0,0.0,20,162.0929400920868,2026-06-19_013853_sweep_csam3_dm18.0_dv4.0_F100_s42,experiments\2026-06-19_013853_sweep_csam3_dm18.0_dv4.0_F100_s42,csam3_dm18.0_dv4.0_F100_s42,3,42,1.0,{},
csam3_dm18.0_dv4.0_F100_s456,infeasible_no_incumbent,False,3,18.0,4.0,100,456,,,0.0,,,,21602.929509901125,0.0,,0.0,0.0,20,160.5746283531189,2026-06-19_014135_sweep_csam3_dm18.0_dv4.0_F100_s456,experiments\2026-06-19_014135_sweep_csam3_dm18.0_dv4.0_F100_s456,csam3_dm18.0_dv4.0_F100_s456,3,456,1.0,{},
csam3_dm18.0_dv9.0_F100_s123,infeasible_no_incumbent,False,3,18.0,9.0,100,123,,,0.0,,,,21490.15897225643,0.0,,0.0,0.0,20,161.35528326034546,2026-06-19_015219_sweep_csam3_dm18.0_dv9.0_F100_s123,experiments\2026-06-19_015219_sweep_csam3_dm18.0_dv9.0_F100_s123,csam3_dm18.0_dv9.0_F100_s123,3,123,1.0,{},
csam3_dm18.0_dv9.0_F100_s42,infeasible_no_incumbent,False,3,18.0,9.0,100,42,,,0.0,,,,21738.175977063936,0.0,,0.0,0.0,20,160.64426636695862,2026-06-19_014656_sweep_csam3_dm18.0_dv9.0_F100_s42,experiments\2026-06-19_014656_sweep_csam3_dm18.0_dv9.0_F100_s42,csam3_dm18.0_dv9.0_F100_s42,3,42,1.0,{},
csam3_dm18.0_dv9.0_F100_s456,infeasible_no_incumbent,False,3,18.0,9.0,100,456,,,0.0,,,,21604.394264851686,0.0,,0.0,0.0,20,162.36138701438904,2026-06-19_014937_sweep_csam3_dm18.0_dv9.0_F100_s456,experiments\2026-06-19_014937_sweep_csam3_dm18.0_dv9.0_F100_s456,csam3_dm18.0_dv9.0_F100_s456,3,456,1.0,{},
csam4_dm12.0_dv16.0_F100_s123,feasible,True,4,12.0,16.0,100,123,78201.19099170003,78001.19099170003,200.0,2.0,"m1,m2",2.0,14255.137737688196,0.0,0.0,0.0,0.0,20,163.31371235847473,2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123,experiments\2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123,csam4_dm12.0_dv16.0_F100_s123,4,123,1.0,"{'regular': 'experiments\\2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_022431_sweep_csam4_dm12.0_dv16.0_F100_s123\\reports\\run_report.pdf'}"
csam4_dm12.0_dv16.0_F100_s42,feasible,True,4,12.0,16.0,100,42,85301.36673787018,85101.36673787018,200.0,2.0,"m1,m10",2.0,14585.199705445524,0.0,0.0,0.0,0.0,20,160.91172695159912,2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42,experiments\2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42,csam4_dm12.0_dv16.0_F100_s42,4,42,1.0,"{'regular': 'experiments\\2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_021907_sweep_csam4_dm12.0_dv16.0_F100_s42\\reports\\run_report.pdf'}"
csam4_dm12.0_dv16.0_F100_s456,feasible,True,4,12.0,16.0,100,456,80572.85519202014,80372.85519202014,200.0,2.0,"m1,m10",2.0,14405.859019802248,0.0,0.0,0.0,0.0,20,162.85679388046265,2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456,experiments\2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456,csam4_dm12.0_dv16.0_F100_s456,4,456,1.0,"{'regular': 'experiments\\2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_022148_sweep_csam4_dm12.0_dv16.0_F100_s456\\reports\\run_report.pdf'}"
csam4_dm12.0_dv4.0_F100_s123,feasible,True,4,12.0,4.0,100,123,80422.8586729549,80222.8586729549,200.0,2.0,"m1,m10",2.0,14326.772648170952,0.0,0.0,0.0,0.0,20,161.958322763443,2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123,experiments\2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123,csam4_dm12.0_dv4.0_F100_s123,4,123,1.0,"{'regular': 'experiments\\2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_020821_sweep_csam4_dm12.0_dv4.0_F100_s123\\reports\\run_report.pdf'}"
csam4_dm12.0_dv4.0_F100_s42,feasible,True,4,12.0,4.0,100,42,83990.35270049996,83790.35270049996,200.0,2.0,"m1,m10",2.0,14492.117318042623,0.0,0.0,0.0,0.0,20,158.67913436889648,2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42,experiments\2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42,csam4_dm12.0_dv4.0_F100_s42,4,42,1.0,"{'regular': 'experiments\\2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_020301_sweep_csam4_dm12.0_dv4.0_F100_s42\\reports\\run_report.pdf'}"
