from,to,t,l,k,flow
m5_in,m5_q_l2,7,l1,k5,89.704715
m5_q_l2,ss,7,l1,k5,89.704715
m4_in,m4_q_l2,6,l1,k4,89.493179
m4_q_l2,ss,6,l1,k4,89.493179
m3_in,m3_q_l2,10,l1,k3,89.370874
m3_q_l2,ss,10,l1,k3,89.370874
m4_in,m4_q_l2,2,l1,k4,87.505238
m4_q_l2,ss,2,l1,k4,87.505238
m3_in,m3_q_l2,9,l1,k3,87.220743
m3_q_l2,ss,9,l1,k3,87.220743
m4_in,m4_q_l2,4,l1,k4,86.888452
m4_q_l2,ss,4,l1,k4,86.888452
m1_in,m1_q_l2,9,l1,k1,86.780383
m1_q_l2,ss,9,l1,k1,86.780383
m5_in,m5_q_l2,2,l1,k5,85.57434
m5_q_l2,ss,2,l1,k5,85.57434
m1_in,m1_q_l2,1,l1,k1,85.486794
m1_q_l2,ss,1,l1,k1,85.486794
m5_in,m5_q_l2,3,l1,k5,85.250228
m5_q_l2,ss,3,l1,k5,85.250228
m3_in,m3_q_l2,7,l1,k3,85.169003
m3_q_l2,ss,7,l1,k3,85.169003
m2_in,m2_q_l2,4,l1,k2,85.075493
m2_q_l2,ss,4,l1,k2,85.075493
m2_in,m2_q_l2,2,l1,k2,85.014813
m2_q_l2,ss,2,l1,k2,85.014813
m3_in,m3_q_l2,8,l1,k3,84.628039
m3_q_l2,ss,8,l1,k3,84.628039
m3_in,m3_q_l2,11,l1,k3,84.258939
m3_q_l2,ss,11,l1,k3,84.258939
m5_in,m5_q_l2,10,l1,k5,84.155855
m5_q_l2,ss,10,l1,k5,84.155855
m2_in,m2_q_l2,10,l1,k2,83.353061
m2_q_l2,ss,10,l1,k2,83.353061
m1_in,m1_q_l2,6,l1,k1,83.089114
m1_q_l2,ss,6,l1,k1,83.089114
m2_in,m2_q_l2,9,l1,k2,82.227203
m2_q_l2,ss,9,l1,k2,82.227203
m2_in,m2_q_l2,1,l1,k2,82.088481
m2_q_l2,ss,1,l1,k2,82.088481
m3_in,m3_q_l2,6,l1,k3,81.127448
m3_q_l2,ss,6,l1,k3,81.127448
m1_in,m1_q_l2,4,l1,k1,80.561192
m1_q_l2,ss,4,l1,k1,80.561192
m1_in,m1_q_l2,8,l1,k1,80.463715
m1_q_l2,ss,8,l1,k1,80.463715
m5_in,m5_q_l2,8,l1,k5,80.168673
m5_q_l2,ss,8,l1,k5,80.168673
m4_in,m4_q_l2,5,l1,k4,80.049829
m4_q_l2,ss,5,l1,k4,80.049829
m2_in,m2_q_l2,8,l1,k2,79.828391
m2_q_l2,ss,8,l1,k2,79.828391
m4_in,m4_q_l2,10,l1,k4,79.270874
m4_q_l2,ss,10,l1,k4,79.270874
m2_in,m2_q_l2,3,l1,k2,79.269852
m2_q_l2,ss,3,l1,k2,79.269852
m5_in,m5_q_l2,4,l1,k5,78.566282
m5_q_l2,ss,4,l1,k5,78.566282
m5_in,m5_q_l2,9,l1,k5,78.280872
m5_q_l2,ss,9,l1,k5,78.280872
m3_in,m3_q_l2,4,l1,k3,78.029032
m3_q_l2,ss,4,l1,k3,78.029032
m4_in,m4_q_l2,11,l1,k4,77.928654
m4_q_l2,ss,11,l1,k4,77.928654
m2_in,m2_q_l2,11,l1,k2,77.771511
m2_q_l2,ss,11,l1,k2,77.771511
m1_in,m1_q_l2,2,l1,k1,77.515433
m1_q_l2,ss,2,l1,k1,77.515433
m2_in,m2_q_l2,6,l1,k2,77.163361
m2_q_l2,ss,6,l1,k2,77.163361
m3_in,m3_q_l2,1,l1,k3,75.700724
m3_q_l2,ss,1,l1,k3,75.700724
m4_in,m4_q_l2,8,l1,k4,75.356364
m4_q_l2,ss,8,l1,k4,75.356364
m1_in,m1_q_l2,10,l1,k1,74.897464
m1_q_l2,ss,10,l1,k1,74.897464
m4_in,m4_q_l2,7,l1,k4,74.556209
m4_q_l2,ss,7,l1,k4,74.556209
m2_in,m2_q_l2,5,l1,k2,74.070272
m2_q_l2,ss,5,l1,k2,74.070272
m5_in,m5_q_l2,1,l1,k5,73.971449
m5_q_l2,ss,1,l1,k5,73.971449
m4_in,m4_q_l2,9,l1,k4,73.657288
m4_q_l2,ss,9,l1,k4,73.657288
m4_in,m4_q_l2,3,l1,k4,71.359446
m4_q_l2,ss,3,l1,k4,71.359446
m2_in,m2_q_l2,7,l1,k2,70.861338
m2_q_l2,ss,7,l1,k2,70.861338
m3_in,m3_q_l2,2,l1,k3,70.687353
m3_q_l2,ss,2,l1,k3,70.687353
m3_in,m3_q_l2,5,l1,k3,70.469533
m3_q_l2,ss,5,l1,k3,70.469533
m3_in,m3_q_l2,3,l1,k3,69.12962
m3_q_l2,ss,3,l1,k3,69.12962
m4_in,m4_q_l2,1,l1,k4,68.379694
m4_q_l2,ss,1,l1,k4,68.379694
m5_in,m5_q_l2,11,l1,k5,68.298848
m5_q_l2,ss,11,l1,k5,68.298848
m5_in,m5_q_l2,6,l1,k5,67.256254
m5_q_l2,ss,6,l1,k5,67.256254
m1_in,m1_q_l2,3,l1,k1,66.592578
m1_q_l2,ss,3,l1,k1,66.592578
m1_in,m1_q_l2,5,l1,k1,66.056652
m1_q_l2,ss,5,l1,k1,66.056652
m5_in,m5_q_l2,5,l1,k5,62.71534
m5_q_l2,ss,5,l1,k5,62.71534
