from,to,t,l,k,flow
m1_in,m1_q_l2,1,l1,k1,106.24685
m1_in,m1_q_l2,2,l1,k1,104.27849
m2_in,m2_q_l2,1,l1,k2,102.11421
m1_q_l2,ss,1,l1,k1,100.0
m2_q_l2,ss,1,l1,k2,100.0
m1_q_l2,ss,2,l1,k1,100.0
m3_in,m3_q_l2,2,l1,k3,100.0
m3_q_l2,ss,2,l1,k3,100.0
m3_in,m3_q_l2,3,l1,k3,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,96.921995
m4_q_l2,ss,1,l1,k4,96.921995
m1_q_l2,ss,3,l1,k1,95.518599
m3_in,m3_q_l2,1,l1,k3,95.271567
m3_q_l2,ss,1,l1,k3,95.271567
m5_in,m5_q_l2,3,l1,k5,94.509767
m5_q_l2,ss,3,l1,k5,94.509767
m2_q_l2,ss,2,l1,k2,93.242862
m5_in,m5_q_l2,2,l1,k5,92.900593
m5_q_l2,ss,2,l1,k5,92.900593
m4_in,m4_q_l2,2,l1,k4,92.17779
m4_q_l2,ss,2,l1,k4,92.17779
m2_in,m2_q_l2,3,l1,k2,91.511028
m2_q_l2,ss,3,l1,k2,91.511028
m2_in,m2_q_l2,2,l1,k2,91.128651
m4_in,m4_q_l2,3,l1,k4,90.703939
m4_q_l2,ss,3,l1,k4,90.703939
m5_in,m5_q_l2,1,l1,k5,87.916829
m5_q_l2,ss,1,l1,k5,87.916829
m1_in,m1_q_l2,3,l1,k1,84.993254
m3_in,m3_q_l2,1,l2,k4,25.696893
m3_q_l2,ss,1,l2,k4,25.696893
m1_in,m1_q_l2,2,l2,k2,25.358754
m1_q_l2,ss,2,l2,k2,25.358754
m5_in,m5_q_l2,1,l2,k3,24.011136
m5_q_l2,ss,1,l2,k3,24.011136
m4_in,m4_q_l2,3,l2,k5,23.859281
m4_q_l2,ss,3,l2,k5,23.859281
m6_in,m6_q_l2,1,l2,k1,23.41032
m6_q_l2,ss,1,l2,k1,23.41032
m8_in,m8_q_l2,1,l2,k5,21.333316
m8_q_l2,ss,1,l2,k5,21.333316
m6_in,m6_q_l2,2,l2,k4,21.26163
m6_q_l2,ss,2,l2,k4,21.26163
m5_in,m5_q_l2,3,l2,k3,20.905166
m5_q_l2,ss,3,l2,k3,20.905166
m9_in,m9_q_l2,2,l2,k3,20.444902
m9_q_l2,ss,2,l2,k3,20.444902
m1_in,m1_q_l2,3,l2,k2,20.212446
m1_q_l2,ss,3,l2,k2,20.212446
m4_in,m4_q_l2,1,l2,k2,20.105082
m4_q_l2,ss,1,l2,k2,20.105082
m5_in,m5_q_l2,2,l2,k1,20.04964
m5_q_l2,ss,2,l2,k1,20.04964
m10_in,m10_q_l2,3,l2,k4,17.274578
m10_q_l2,ss,3,l2,k4,17.274578
source,m6_in,1,l1,k1,14.99504
m6_in,m1_in,1,l1,k1,14.99504
source,m5_in,4,l2,k5,14.990496
source,m3_in,2,l2,k2,14.974863
m3_in,m3_q_l2,2,l2,k2,14.974863
m3_q_l2,ss,2,l2,k2,14.974863
source,m3_in,3,l2,k5,14.908108
m3_in,m3_q_l2,3,l2,k5,14.908108
m3_q_l2,ss,3,l2,k5,14.908108
source,m10_in,2,l2,k4,14.897626
m10_in,m10_q_l2,2,l2,k4,14.897626
m10_q_l2,ss,2,l2,k4,14.897626
source,m4_in,4,l1,k2,14.861278
source,m9_in,4,l1,k3,14.825482
m9_in,m9_q_l1,2,l1,k3,14.823579
m9_q_l1,ss,2,l1,k3,14.823579
source,m6_in,4,l2,k5,14.812362
source,m3_in,1,l1,k3,14.802305
source,m6_in,3,l2,k4,14.77767
m6_in,m6_q_l2,3,l2,k4,14.77767
m6_q_l2,ss,3,l2,k4,14.77767
source,m9_in,3,l1,k3,14.76647
source,m2_in,2,l2,k4,14.754581
m2_in,m2_q_l2,2,l2,k4,14.754581
m2_q_l2,ss,2,l2,k4,14.754581
source,m1_in,4,l1,k2,14.731557
source,m4_in,1,l2,k2,14.678786
source,m8_in,4,l2,k3,14.676075
source,m2_in,2,l2,k2,14.658762
m2_in,m1_in,2,l2,k2,14.658762
source,m7_in,4,l1,k5,14.655088
source,m8_in,4,l1,k5,14.606463
source,m5_in,3,l2,k2,14.540995
m5_in,m5_q_l2,3,l2,k2,14.540995
m5_q_l2,ss,3,l2,k2,14.540995
source,m7_in,1,l2,k5,14.540234
m7_in,m7_q_l2,1,l2,k5,14.540234
m7_q_l2,ss,1,l2,k5,14.540234
m4_in,m4_q_l2,2,l2,k5,14.441721
m4_q_l2,ss,2,l2,k5,14.441721
source,m10_in,1,l1,k1,14.435638
m10_in,m1_in,1,l1,k1,14.435638
source,m2_in,1,l1,k2,14.4239
source,m5_in,2,l2,k3,14.423404
m5_in,m5_q_l2,2,l2,k3,14.423404
m5_q_l2,ss,2,l2,k3,14.423404
source,m4_in,1,l2,k4,14.421327
m4_in,m3_in,1,l2,k4,14.421327
source,m7_in,4,l2,k5,14.391157
source,m7_in,3,l1,k5,14.320236
m7_in,m5_in,3,l1,k5,14.320236
source,m6_in,2,l1,k1,14.317521
m6_in,m1_in,2,l1,k1,14.317521
source,m6_in,2,l1,k5,14.316051
m6_in,m5_in,2,l1,k5,14.316051
source,m9_in,1,l1,k2,14.287874
m9_in,m2_in,1,l1,k2,14.287874
source,m5_in,2,l1,k3,14.285057
m5_in,m3_in,2,l1,k3,14.285057
source,m9_in,4,l2,k2,14.250895
source,m7_in,3,l2,k1,14.236621
m7_in,m7_q_l2,3,l2,k1,14.236621
m7_q_l2,ss,3,l2,k1,14.236621
source,m3_in,4,l2,k2,14.203231
source,m5_in,4,l2,k2,14.127683
source,m9_in,1,l2,k2,14.120676
