from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k3,37.234147
m9_q_l1,m9_q_l1,10,11,l1,k1,30.234592
m5_q_l2,m5_q_l2,9,10,l1,k5,25.214024
m1_q_l2,m1_q_l2,9,10,l1,k1,19.724262
m9_q_l1,m9_q_l1,3,4,l1,k5,18.912555
m9_q_l1,m9_q_l1,11,12,l1,k4,16.215514
m5_q_l2,m5_q_l2,3,4,l1,k5,15.643519
m2_q_l2,m2_q_l2,10,11,l1,k2,13.3773
m9_q_l1,m9_q_l1,10,11,l1,k3,13.169343
m9_q_l1,m9_q_l1,6,7,l1,k4,13.126747
m9_q_l1,m9_q_l1,10,11,l1,k2,12.735796
m9_q_l1,m9_q_l1,8,9,l1,k4,12.710697
m2_q_l2,m2_q_l2,8,9,l1,k2,11.993036
m9_q_l1,m9_q_l1,8,9,l1,k5,11.391742
m9_q_l1,m9_q_l1,9,10,l1,k5,11.391742
m3_q_l2,m3_q_l2,6,7,l1,k3,11.092486
m9_q_l1,m9_q_l1,7,8,l1,k1,10.88466
m9_q_l1,m9_q_l1,8,9,l1,k2,10.179377
m5_q_l2,m5_q_l2,8,9,l1,k5,9.634269
m3_q_l2,m3_q_l2,7,8,l1,k3,9.6279283
m9_q_l1,m9_q_l1,11,12,l1,k1,9.2422359
m9_q_l1,m9_q_l1,2,3,l1,k5,8.1877831
m4_q_l2,m4_q_l2,3,4,l1,k4,7.5852841
m4_q_l2,m4_q_l2,1,2,l1,k4,4.1176986
m5_q_l2,m5_q_l2,7,8,l1,k5,3.8894755
m4_q_l2,m4_q_l2,6,7,l1,k4,3.8852351
m9_q_l1,m9_q_l1,7,8,l1,k3,3.7840726
m2_q_l2,m2_q_l2,9,10,l1,k2,3.7599924
m3_q_l2,m3_q_l2,9,10,l1,k3,1.8300428
m1_q_l2,m1_q_l2,10,11,l1,k1,1.6624598
m1_q_l2,m1_q_l2,6,7,l1,k1,1.1929191
m3_q_l2,m3_q_l2,2,3,l1,k3,0.50310225
m4_q_l2,m4_q_l2,9,10,l1,k4,0.24213356
