from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k3,77.341779
m9_q_l1,m9_q_l1,10,11,l1,k3,61.030065
m9_q_l1,m9_q_l1,11,12,l1,k1,52.374912
m9_q_l1,m9_q_l1,9,10,l1,k3,42.198075
m9_q_l1,m9_q_l1,10,11,l1,k1,40.98314
m5_q_l2,m5_q_l2,9,10,l1,k5,33.023144
m9_q_l1,m9_q_l1,8,9,l1,k2,31.530506
m9_q_l1,m9_q_l1,6,7,l1,k4,31.47732
m9_q_l1,m9_q_l1,4,5,l1,k3,28.784801
m9_q_l1,m9_q_l1,11,12,l1,k4,27.50144
m9_q_l1,m9_q_l1,3,4,l1,k5,23.230674
m9_q_l1,m9_q_l1,8,9,l1,k3,22.342788
m9_q_l1,m9_q_l1,5,6,l1,k2,22.187509
m9_q_l1,m9_q_l1,5,6,l1,k4,22.151237
m5_q_l2,m5_q_l2,8,9,l1,k5,21.213089
m9_q_l1,m9_q_l1,6,7,l1,k5,19.502334
m3_q_l2,m3_q_l2,7,8,l1,k3,18.536691
m9_q_l1,m9_q_l1,8,9,l1,k4,18.513538
m9_q_l1,m9_q_l1,7,8,l1,k1,17.07544
m9_q_l1,m9_q_l1,7,8,l1,k2,15.383734
m9_q_l1,m9_q_l1,7,8,l1,k3,14.857941
m4_q_l2,m4_q_l2,6,7,l1,k4,13.457456
m1_q_l2,m1_q_l2,9,10,l1,k1,13.347978
m9_q_l1,m9_q_l1,2,3,l1,k5,13.341706
m2_q_l2,m2_q_l2,10,11,l1,k2,12.394341
m9_q_l1,m9_q_l1,10,11,l1,k2,11.795892
m5_q_l2,m5_q_l2,5,6,l1,k5,10.890756
m9_q_l1,m9_q_l1,1,2,l1,k4,10.477016
m9_q_l1,m9_q_l1,4,5,l1,k4,10.178329
m9_q_l1,m9_q_l1,4,5,l1,k2,10.07752
m1_q_l2,m1_q_l2,1,2,l1,k1,9.5738091
m4_q_l2,m4_q_l2,5,6,l1,k4,7.5106405
m3_q_l2,m3_q_l2,6,7,l1,k3,7.0211731
m1_q_l2,m1_q_l2,5,6,l1,k1,6.6856343
m9_q_l1,m9_q_l1,10,11,l1,k4,6.6699421
m5_q_l2,m5_q_l2,3,4,l1,k5,5.1192929
m9_q_l1,m9_q_l1,7,8,l1,k4,4.6596168
m5_q_l2,m5_q_l2,6,7,l1,k5,4.349468
m9_q_l1,m9_q_l1,9,10,l1,k1,4.0163088
m3_q_l2,m3_q_l2,2,3,l1,k3,3.0502989
m5_q_l2,m5_q_l2,1,2,l1,k5,0.39567173
m3_q_l2,m3_q_l2,8,9,l1,k3,0.21108251
