from,to,t_from,t_to,l,k,flow
m1_q_l2,m1_q_l2,2,3,l1,k1,10.525345
m1_q_l2,m1_q_l2,1,2,l1,k1,6.2468524
m2_q_l2,m2_q_l2,1,2,l1,k2,2.1142104
