from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,216.58662
m3_q_l2,m3_q_l2,8,9,l1,k3,210.15083
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m3_q_l2,m3_q_l2,7,8,l1,k3,181.33847
m4_q_l2,m4_q_l2,9,10,l1,k4,180.69058
m3_q_l2,m3_q_l2,9,10,l1,k3,176.22877
m3_q_l2,m3_q_l2,11,12,l1,k3,173.65419
m3_q_l2,m3_q_l2,10,11,l1,k3,171.33784
m3_q_l2,m3_q_l2,6,7,l1,k3,135.97378
m3_q_l2,m3_q_l2,5,6,l1,k3,134.82941
m4_q_l2,m4_q_l2,8,9,l1,k4,133.96737
m1_q_l2,m1_q_l2,11,12,l1,k1,133.92907
m4_q_l2,m4_q_l2,7,8,l1,k4,126.21717
m4_q_l2,m4_q_l2,6,7,l1,k4,118.30262
m10_q_l1,m10_q_l1,11,12,l1,k2,116.36656
m3_q_l2,m3_q_l2,4,5,l1,k3,112.5802
m1_q_l1,m1_q_l1,11,12,l1,k5,110.57282
m10_q_l1,m10_q_l1,8,9,l1,k2,100.7389
m10_q_l1,m10_q_l1,7,8,l1,k2,87.667237
m1_q_l2,m1_q_l2,10,11,l1,k1,83.513826
m10_q_l1,m10_q_l1,10,11,l1,k2,83.380773
m1_q_l1,m1_q_l1,10,11,l1,k5,77.868899
m4_q_l2,m4_q_l2,5,6,l1,k4,75.393268
m10_q_l1,m10_q_l1,5,6,l1,k2,73.053415
m10_q_l1,m10_q_l1,6,7,l1,k2,72.130225
m10_q_l1,m10_q_l1,9,10,l1,k2,70.425409
m5_q_l2,m5_q_l2,11,12,l1,k5,68.243943
m1_q_l1,m1_q_l1,7,8,l1,k1,61.541987
m5_q_l2,m5_q_l2,10,11,l1,k5,60.196251
m5_q_l2,m5_q_l2,8,9,l1,k5,59.06473
m10_q_l1,m10_q_l1,6,7,l1,k5,59.014865
m4_q_l2,m4_q_l2,4,5,l1,k4,58.131831
m1_q_l1,m1_q_l1,10,11,l1,k2,56.457541
m1_q_l1,m1_q_l1,9,10,l1,k5,54.145015
m10_q_l1,m10_q_l1,4,5,l1,k2,49.2829
m10_q_l1,m10_q_l1,5,6,l1,k5,46.06801
m5_q_l2,m5_q_l2,9,10,l1,k5,44.302874
m10_q_l1,m10_q_l1,11,12,l1,k4,43.633445
m1_q_l2,m1_q_l2,9,10,l1,k1,43.489784
m3_q_l2,m3_q_l2,3,4,l1,k3,42.982402
m1_q_l1,m1_q_l1,11,12,l1,k4,40.545748
m4_q_l2,m4_q_l2,3,4,l1,k4,37.805679
m1_q_l1,m1_q_l1,3,4,l1,k3,36.526479
m1_q_l1,m1_q_l1,4,5,l1,k3,36.526479
m1_q_l1,m1_q_l1,2,3,l1,k2,35.48377
m1_q_l1,m1_q_l1,6,7,l1,k1,30.829402
m1_q_l1,m1_q_l1,3,4,l1,k1,30.028378
m10_q_l1,m10_q_l1,9,10,l1,k3,27.816143
m1_q_l2,m1_q_l2,5,6,l1,k1,27.591047
m5_q_l2,m5_q_l2,3,4,l1,k5,27.056032
m1_q_l2,m1_q_l2,2,3,l1,k1,25.427815
m10_q_l1,m10_q_l1,2,3,l1,k4,24.910831
m10_q_l1,m10_q_l1,10,11,l1,k1,24.87772
m10_q_l1,m10_q_l1,7,8,l1,k5,24.597395
m1_q_l1,m1_q_l1,2,3,l1,k3,24.440935
m4_q_l2,m4_q_l2,2,3,l1,k4,22.906042
m10_q_l1,m10_q_l1,4,5,l1,k1,22.252423
m5_q_l2,m5_q_l2,7,8,l1,k5,22.140819
m1_q_l1,m1_q_l1,9,10,l1,k2,21.872835
m10_q_l1,m10_q_l1,9,10,l1,k5,20.052212
m1_q_l1,m1_q_l1,8,9,l1,k2,19.71916
