from,to,t_from,t_to,l,k,flow
m10_q_l1,m10_q_l1,11,12,l1,k2,58.048998
m2_q_l2,m2_q_l2,10,11,l1,k2,51.869204
m2_q_l1,m2_q_l1,7,8,l1,k4,43.660642
m10_q_l1,m10_q_l1,8,9,l1,k1,39.187859
m2_q_l1,m2_q_l1,6,7,l1,k4,36.565737
m2_q_l1,m2_q_l1,8,9,l1,k5,35.534256
m2_q_l1,m2_q_l1,10,11,l1,k4,33.410387
m10_q_l1,m10_q_l1,6,7,l1,k5,32.77855
m10_q_l1,m10_q_l1,11,12,l1,k1,32.393815
m1_q_l1,m1_q_l1,2,3,l1,k3,31.30043
m10_q_l1,m10_q_l1,10,11,l1,k3,29.396076
m1_q_l1,m1_q_l1,7,8,l1,k2,27.346789
m10_q_l1,m10_q_l1,11,12,l1,k4,26.733813
m1_q_l1,m1_q_l1,9,10,l1,k4,26.42666
m2_q_l1,m2_q_l1,7,8,l1,k5,20.187894
m2_q_l2,m2_q_l2,9,10,l1,k2,20.136303
m4_q_l2,m4_q_l2,1,2,l1,k4,19.14255
m10_q_l1,m10_q_l1,5,6,l1,k2,18.592377
m5_q_l2,m5_q_l2,9,10,l1,k5,18.558186
m10_q_l1,m10_q_l1,5,6,l1,k5,18.266863
m10_q_l1,m10_q_l1,6,7,l1,k3,18.227423
m1_q_l1,m1_q_l1,8,9,l1,k4,18.129287
m1_q_l1,m1_q_l1,11,12,l1,k5,17.838557
m2_q_l1,m2_q_l1,8,9,l1,k3,17.642092
m10_q_l1,m10_q_l1,7,8,l1,k3,17.411923
m3_q_l2,m3_q_l2,8,9,l1,k3,17.362516
m2_q_l1,m2_q_l1,9,10,l1,k4,17.107604
m1_q_l1,m1_q_l1,10,11,l1,k2,16.93729
m1_q_l1,m1_q_l1,6,7,l1,k4,16.223353
m2_q_l1,m2_q_l1,9,10,l1,k1,15.715575
m10_q_l1,m10_q_l1,10,11,l1,k2,15.562383
m1_q_l1,m1_q_l1,4,5,l1,k3,14.973006
m10_q_l1,m10_q_l1,10,11,l1,k4,14.874814
m4_q_l2,m4_q_l2,3,4,l1,k4,14.512462
m2_q_l1,m2_q_l1,11,12,l1,k5,14.056136
m1_q_l1,m1_q_l1,3,4,l1,k5,13.911235
m2_q_l1,m2_q_l1,5,6,l1,k5,13.551768
m1_q_l1,m1_q_l1,11,12,l1,k4,13.395445
m2_q_l1,m2_q_l1,5,6,l1,k4,13.358635
m4_q_l2,m4_q_l2,9,10,l1,k4,12.597514
m1_q_l2,m1_q_l2,9,10,l1,k1,10.941345
m2_q_l2,m2_q_l2,3,4,l1,k2,10.828145
m3_q_l2,m3_q_l2,4,5,l1,k3,10.179368
m2_q_l1,m2_q_l1,2,3,l1,k4,9.7924067
m1_q_l1,m1_q_l1,4,5,l1,k4,7.8454952
m3_q_l2,m3_q_l2,7,8,l1,k3,7.7599369
m10_q_l1,m10_q_l1,9,10,l1,k1,7.7439983
m3_q_l2,m3_q_l2,9,10,l1,k3,5.9489826
m1_q_l2,m1_q_l2,7,8,l1,k1,5.855455
m10_q_l1,m10_q_l1,9,10,l1,k3,5.5808174
m2_q_l1,m2_q_l1,11,12,l1,k2,4.2530297
m1_q_l1,m1_q_l1,10,11,l1,k3,3.3219871
m2_q_l1,m2_q_l1,11,12,l1,k1,2.9218726
m2_q_l1,m2_q_l1,1,2,l1,k1,2.5960692
m2_q_l1,m2_q_l1,9,10,l1,k5,2.5871116
m2_q_l1,m2_q_l1,7,8,l1,k3,2.2139047
m3_q_l2,m3_q_l2,1,2,l1,k3,1.7322137
m1_q_l2,m1_q_l2,3,4,l1,k1,1.3934967
m10_q_l1,m10_q_l1,8,9,l1,k2,0.62382549
m2_q_l1,m2_q_l1,6,7,l1,k5,0.09877728
