from,to,t,l,k,flow
m2_in,m2_q_l2,10,l1,k2,131.7329
m2_in,m2_q_l2,9,l1,k2,120.1363
m4_in,m4_q_l2,1,l1,k4,119.14255
m5_in,m5_q_l2,9,l1,k5,118.55819
m4_in,m4_q_l2,3,l1,k4,114.51246
m4_in,m4_q_l2,9,l1,k4,112.59751
m1_in,m1_q_l2,9,l1,k1,110.94134
m2_in,m2_q_l2,3,l1,k2,110.82815
m3_in,m3_q_l2,4,l1,k3,110.17937
m3_in,m3_q_l2,8,l1,k3,109.60258
m3_in,m3_q_l2,7,l1,k3,107.75994
m1_in,m1_q_l2,7,l1,k1,105.85545
m3_in,m3_q_l2,1,l1,k3,101.73221
m1_in,m1_q_l2,3,l1,k1,101.3935
m1_in,m1_q_l2,1,l1,k1,100.0
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_in,m1_q_l2,2,l1,k1,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_in,m3_q_l2,3,l1,k3,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_in,m5_q_l2,4,l1,k5,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_in,m1_q_l2,5,l1,k1,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_in,m2_q_l2,5,l1,k2,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_in,m4_q_l2,5,l1,k4,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_in,m5_q_l2,5,l1,k5,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_in,m1_q_l2,6,l1,k1,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_in,m2_q_l2,6,l1,k2,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_in,m3_q_l2,6,l1,k3,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_in,m4_q_l2,6,l1,k4,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_in,m5_q_l2,6,l1,k5,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_in,m2_q_l2,7,l1,k2,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_in,m4_q_l2,7,l1,k4,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_in,m2_q_l2,8,l1,k2,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_in,m4_q_l2,8,l1,k4,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_in,m5_q_l2,8,l1,k5,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_in,m1_q_l2,11,l1,k1,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_in,m3_q_l2,11,l1,k3,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_in,m4_q_l2,11,l1,k4,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_in,m5_q_l2,11,l1,k5,100.0
m5_q_l2,ss,11,l1,k5,100.0
m1_in,m1_q_l2,4,l1,k1,98.606503
m3_in,m3_q_l2,2,l1,k3,98.267786
m1_in,m1_q_l2,8,l1,k1,94.144545
m3_in,m3_q_l2,10,l1,k3,94.051017
m3_in,m3_q_l2,5,l1,k3,89.820632
m2_in,m2_q_l2,4,l1,k2,89.171855
m1_in,m1_q_l2,10,l1,k1,89.058655
m3_in,m3_q_l2,9,l1,k3,88.586466
m4_in,m4_q_l2,10,l1,k4,87.402486
m4_in,m4_q_l2,4,l1,k4,85.487538
m5_in,m5_q_l2,10,l1,k5,81.441814
m4_in,m4_q_l2,2,l1,k4,80.85745
m2_q_l1,ss,8,l1,k4,65.89303
m1_q_l1,ss,11,l1,k2,62.363442
m10_q_l1,ss,11,l1,k3,58.375797
m1_q_l1,ss,10,l1,k4,55.333135
m1_q_l1,ss,8,l1,k2,55.311142
m10_in,m10_q_l1,11,l1,k2,51.090074
m1_q_l1,ss,7,l1,k4,50.587618
m2_in,m2_q_l1,7,l1,k1,48.96839
m2_q_l1,ss,7,l1,k1,48.96839
m10_q_l1,ss,6,l1,k2,48.450217
m2_in,m2_q_l2,11,l1,k2,48.130796
m2_q_l1,ss,11,l1,k4,46.920035
m10_q_l1,ss,7,l1,k5,46.733198
m2_in,m2_q_l1,2,l1,k5,46.475087
m2_q_l1,ss,2,l1,k5,46.475087
m1_q_l1,ss,3,l1,k3,46.435486
m2_q_l1,ss,10,l1,k1,46.135423
m1_in,m1_q_l1,11,l1,k2,45.426152
m2_q_l1,ss,9,l1,k5,45.191805
m1_in,m1_q_l1,4,l1,k2,44.404593
m1_q_l1,ss,4,l1,k2,44.404593
m10_in,m10_q_l1,10,l1,k5,42.450927
m10_q_l1,ss,10,l1,k5,42.450927
m10_q_l1,ss,9,l1,k1,41.445049
m2_in,m2_q_l1,5,l1,k5,40.376416
m10_in,m10_q_l1,8,l1,k1,39.187859
m2_in,m2_q_l1,5,l1,k3,38.095201
m2_q_l1,ss,5,l1,k3,38.095201
m10_in,m10_q_l1,1,l1,k1,37.810039
m10_q_l1,ss,1,l1,k1,37.810039
m10_q_l1,ss,10,l1,k1,37.549073
m10_in,m10_q_l1,5,l1,k1,36.387569
m10_q_l1,ss,5,l1,k1,36.387569
m2_in,m2_q_l1,6,l1,k1,36.147831
m2_q_l1,ss,6,l1,k1,36.147831
m1_in,m1_q_l1,2,l1,k2,35.456303
m1_q_l1,ss,2,l1,k2,35.456303
m4_in,m4_q_l2,7,l2,k1,35.449743
m4_q_l2,ss,7,l2,k1,35.449743
m2_in,m2_q_l1,4,l1,k4,35.272919
m2_q_l1,ss,4,l1,k4,35.272919
m2_q_l1,ss,9,l1,k3,34.808195
m1_in,m1_q_l1,6,l1,k5,34.763571
m1_q_l1,ss,6,l1,k5,34.763571
m7_in,m7_q_l2,4,l2,k2,34.718185
m7_q_l2,ss,4,l2,k2,34.718185
m1_in,m1_q_l1,7,l1,k4,34.364266
m3_in,m3_q_l2,1,l2,k4,33.726261
m3_q_l2,ss,1,l2,k4,33.726261
m10_in,m10_q_l2,6,l2,k4,33.553395
m10_q_l2,ss,6,l2,k4,33.553395
m10_in,m10_q_l1,5,l1,k2,33.213357
m3_in,m3_q_l2,7,l2,k4,33.211044
m3_q_l2,ss,7,l2,k4,33.211044
m1_in,m1_q_l1,2,l1,k4,32.993533
m1_q_l1,ss,2,l1,k4,32.993533
m2_in,m2_q_l2,11,l2,k1,32.986003
m2_q_l2,ss,11,l2,k1,32.986003
m2_in,m2_q_l2,4,l2,k5,32.815881
m2_q_l2,ss,4,l2,k5,32.815881
m5_in,m5_q_l2,2,l2,k4,32.628369
m5_q_l2,ss,2,l2,k4,32.628369
m10_in,m10_q_l1,11,l1,k1,32.393815
m10_in,m10_q_l1,2,l1,k1,32.151619
m10_q_l1,ss,2,l1,k1,32.151619
m5_in,m5_q_l2,7,l2,k2,32.10062
m5_q_l2,ss,7,l2,k2,32.10062
m2_in,m2_q_l1,3,l1,k1,32.02652
m2_q_l1,ss,3,l1,k1,32.02652
m6_in,m6_q_l2,3,l2,k4,32.012298
m6_q_l2,ss,3,l2,k4,32.012298
m1_in,m1_q_l1,9,l1,k3,31.906748
m1_q_l1,ss,9,l1,k3,31.906748
m4_in,m4_q_l2,8,l2,k1,31.791995
m4_q_l2,ss,8,l2,k1,31.791995
m7_in,m7_q_l2,5,l2,k2,31.574143
m7_q_l2,ss,5,l2,k2,31.574143
m1_in,m1_q_l1,2,l1,k3,31.30043
m10_in,m10_q_l1,4,l1,k1,31.266825
m10_q_l1,ss,4,l1,k1,31.266825
m8_in,m8_q_l2,10,l2,k5,31.159351
m8_q_l2,ss,10,l2,k5,31.159351
m10_q_l1,ss,8,l1,k3,31.133999
m1_in,m1_q_l1,1,l1,k2,31.12687
m1_q_l1,ss,1,l1,k2,31.12687
m5_in,m5_q_l2,10,l2,k3,30.898959
m5_q_l2,ss,10,l2,k3,30.898959
m4_in,m4_q_l2,3,l2,k3,30.892059
m4_q_l2,ss,3,l2,k3,30.892059
m3_in,m3_q_l2,3,l2,k2,30.790921
m3_q_l2,ss,3,l2,k2,30.790921
m5_in,m5_q_l2,11,l2,k4,30.599669
m5_q_l2,ss,11,l2,k4,30.599669
m1_q_l1,ss,4,l1,k5,30.556324
m3_in,m3_q_l2,9,l2,k5,30.553664
m3_q_l2,ss,9,l2,k5,30.553664
m4_in,m4_q_l2,3,l2,k1,30.522633
m4_q_l2,ss,3,l2,k1,30.522633
m3_in,m3_q_l2,6,l2,k1,30.476741
m3_q_l2,ss,6,l2,k1,30.476741
m8_in,m8_q_l2,5,l2,k3,30.45805
m8_q_l2,ss,5,l2,k3,30.45805
m2_in,m2_q_l1,10,l1,k1,30.419849
m10_in,m10_q_l2,1,l2,k1,30.391809
m10_q_l2,ss,1,l2,k1,30.391809
m4_in,m4_q_l2,1,l2,k5,30.21726
m4_q_l2,ss,1,l2,k5,30.21726
m4_in,m4_q_l2,7,l2,k3,30.18896
m4_q_l2,ss,7,l2,k3,30.18896
m10_in,m10_q_l2,5,l2,k4,30.112315
m10_q_l2,ss,5,l2,k4,30.112315
m8_in,m8_q_l2,9,l2,k2,29.912227
m8_q_l2,ss,9,l2,k2,29.912227
m10_in,m10_q_l1,6,l1,k2,29.85784
m10_in,m10_q_l1,10,l1,k1,29.805074
m1_q_l1,ss,5,l1,k3,29.741709
m8_in,m8_q_l2,4,l2,k4,29.738075
m8_q_l2,ss,4,l2,k4,29.738075
m3_in,m3_q_l2,10,l2,k4,29.718564
m3_q_l2,ss,10,l2,k4,29.718564
m8_in,m8_q_l2,6,l2,k2,29.691768
m8_q_l2,ss,6,l2,k2,29.691768
m2_in,m2_q_l2,8,l2,k3,29.686917
m2_q_l2,ss,8,l2,k3,29.686917
m9_in,m9_q_l2,6,l2,k3,29.646827
m9_q_l2,ss,6,l2,k3,29.646827
m3_in,m3_q_l2,8,l2,k2,29.596191
m3_q_l2,ss,8,l2,k2,29.596191
m6_in,m6_q_l2,5,l2,k5,29.583779
m6_q_l2,ss,5,l2,k5,29.583779
m8_in,m8_q_l2,4,l2,k3,29.247142
m8_q_l2,ss,4,l2,k3,29.247142
m10_q_l1,ss,12,l1,k2,29.024499
m2_q_l1,ss,6,l1,k5,29.006373
m10_in,m10_q_l1,11,l1,k3,28.979722
m2_in,m2_q_l2,3,l2,k5,28.932069
m2_q_l2,ss,3,l2,k5,28.932069
m1_in,m1_q_l1,10,l1,k4,28.906475
m3_in,m3_q_l2,2,l2,k5,28.783669
m3_q_l2,ss,2,l2,k5,28.783669
m4_in,m4_q_l2,11,l2,k3,28.700088
m4_q_l2,ss,11,l2,k3,28.700088
m10_in,m10_q_l2,2,l2,k2,28.590764
m10_q_l2,ss,2,l2,k2,28.590764
m6_in,m6_q_l2,6,l2,k5,28.557495
m6_q_l2,ss,6,l2,k5,28.557495
m9_in,m9_q_l2,9,l2,k3,28.430541
m9_q_l2,ss,9,l2,k3,28.430541
m1_in,m1_q_l1,8,l1,k2,27.964354
m3_in,m3_q_l2,2,l2,k1,27.906957
m3_q_l2,ss,2,l2,k1,27.906957
m9_in,m9_q_l2,11,l2,k2,27.539197
m9_q_l2,ss,11,l2,k2,27.539197
m2_in,m2_q_l1,7,l1,k4,27.482205
m1_in,m1_q_l1,7,l1,k2,27.346789
m4_in,m4_q_l2,11,l2,k5,27.136196
m4_q_l2,ss,11,l2,k5,27.136196
m3_in,m3_q_l2,1,l2,k2,27.069037
m3_q_l2,ss,1,l2,k2,27.069037
m2_in,m2_q_l2,8,l2,k5,26.87209
m2_q_l2,ss,8,l2,k5,26.87209
m2_q_l1,ss,5,l1,k5,26.824648
m2_in,m2_q_l2,8,l2,k4,26.709653
m2_q_l2,ss,8,l2,k4,26.709653
m1_in,m1_q_l1,5,l1,k2,26.659433
m1_q_l1,ss,5,l1,k2,26.659433
m2_in,m2_q_l1,1,l1,k4,26.529736
m2_q_l1,ss,1,l1,k4,26.529736
m10_in,m10_q_l2,5,l2,k1,26.267621
m10_q_l2,ss,5,l2,k1,26.267621
m6_in,m6_q_l2,1,l2,k3,26.204032
m6_q_l2,ss,1,l2,k3,26.204032
m8_in,m8_q_l2,9,l2,k1,25.950112
m8_q_l2,ss,9,l2,k1,25.950112
m2_q_l1,ss,3,l1,k4,25.520672
m4_in,m4_q_l2,10,l2,k1,25.487224
m4_q_l2,ss,10,l2,k1,25.487224
m7_in,m7_q_l2,7,l2,k5,25.470108
m7_q_l2,ss,7,l2,k5,25.470108
m5_in,m5_q_l2,9,l2,k4,25.230682
m5_q_l2,ss,9,l2,k4,25.230682
m10_in,m10_q_l2,10,l2,k2,25.068436
m10_q_l2,ss,10,l2,k2,25.068436
