from,to,t_from,t_to,l,k,flow
m3_q_l2,m3_q_l2,8,9,l1,k3,214.78648
m4_q_l2,m4_q_l2,10,11,l1,k4,214.39108
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m3_q_l2,m3_q_l2,7,8,l1,k3,183.91157
m4_q_l2,m4_q_l2,9,10,l1,k4,183.79372
m3_q_l2,m3_q_l2,11,12,l1,k3,183.55433
m3_q_l2,m3_q_l2,9,10,l1,k3,181.93739
m3_q_l2,m3_q_l2,10,11,l1,k3,180.34343
m4_q_l2,m4_q_l2,8,9,l1,k4,145.97825
m1_q_l2,m1_q_l2,11,12,l1,k1,142.51116
m3_q_l2,m3_q_l2,6,7,l1,k3,142.00178
m3_q_l2,m3_q_l2,5,6,l1,k3,139.5722
m4_q_l2,m4_q_l2,7,8,l1,k4,134.14478
m4_q_l2,m4_q_l2,6,7,l1,k4,122.20174
m10_q_l1,m10_q_l1,11,12,l1,k2,115.91104
m1_q_l1,m1_q_l1,11,12,l1,k5,112.04855
m10_q_l1,m10_q_l1,8,9,l1,k2,111.68419
m3_q_l2,m3_q_l2,4,5,l1,k3,104.41053
m10_q_l1,m10_q_l1,7,8,l1,k2,97.969747
m1_q_l2,m1_q_l2,10,11,l1,k1,92.23433
m10_q_l1,m10_q_l1,5,6,l1,k2,84.893865
m10_q_l1,m10_q_l1,6,7,l1,k2,82.611739
m5_q_l2,m5_q_l2,11,12,l1,k5,81.15264
m1_q_l1,m1_q_l1,10,11,l1,k5,80.245932
m4_q_l2,m4_q_l2,5,6,l1,k4,76.928846
m5_q_l2,m5_q_l2,10,11,l1,k5,74.120845
m10_q_l1,m10_q_l1,10,11,l1,k2,72.247358
m5_q_l2,m5_q_l2,8,9,l1,k5,64.376487
m1_q_l1,m1_q_l1,7,8,l1,k1,62.694658
m5_q_l2,m5_q_l2,9,10,l1,k5,61.858595
m10_q_l1,m10_q_l1,6,7,l1,k5,59.343243
m4_q_l2,m4_q_l2,4,5,l1,k4,58.754554
m10_q_l1,m10_q_l1,9,10,l1,k2,58.610449
m1_q_l1,m1_q_l1,9,10,l1,k5,57.113722
m1_q_l1,m1_q_l1,10,11,l1,k2,54.305027
m1_q_l2,m1_q_l2,9,10,l1,k1,53.884969
m10_q_l1,m10_q_l1,4,5,l1,k2,47.855267
m10_q_l1,m10_q_l1,5,6,l1,k5,45.712007
m10_q_l1,m10_q_l1,11,12,l1,k4,44.088963
m1_q_l1,m1_q_l1,3,4,l1,k1,42.014444
m3_q_l2,m3_q_l2,3,4,l1,k3,41.345336
m1_q_l1,m1_q_l1,3,4,l1,k3,39.350986
m1_q_l1,m1_q_l1,4,5,l1,k3,39.350986
m4_q_l2,m4_q_l2,3,4,l1,k4,38.53712
m1_q_l1,m1_q_l1,11,12,l1,k4,37.030498
m1_q_l1,m1_q_l1,2,3,l1,k2,35.322513
m1_q_l1,m1_q_l1,9,10,l1,k2,34.588381
m5_q_l2,m5_q_l2,7,8,l1,k5,33.093879
