from,to,t,l,k,flow
m4_in,m4_q_l2,1,l1,k4,82.46186
m4_q_l2,ss,1,l1,k4,82.46186
m2_in,m2_q_l2,1,l1,k2,82.376617
m2_q_l2,ss,1,l1,k2,82.376617
m1_in,m1_q_l2,1,l1,k1,80.554672
m1_q_l2,ss,1,l1,k1,80.554672
m5_in,m5_q_l2,1,l1,k5,75.525255
m5_q_l2,ss,1,l1,k5,75.525255
m3_in,m3_q_l2,1,l1,k3,60.409109
m3_q_l2,ss,1,l1,k3,60.409109
m9_in,m9_q_l1,1,l1,k3,43.018867
m9_q_l1,ss,1,l1,k3,43.018867
source,m10_in,2,l2,k5,14.990496
source,m5_in,2,l2,k2,14.974863
source,m6_in,1,l2,k5,14.908108
m6_in,m6_q_l1,1,l2,k5,14.908108
m6_q_l1,ss,1,l2,k5,14.908108
source,m8_in,2,l1,k2,14.861278
source,m5_in,1,l1,k3,14.802305
m5_in,m9_in,1,l1,k3,14.802305
source,m3_in,2,l2,k4,14.754581
source,m2_in,2,l1,k2,14.731557
source,m7_in,1,l2,k2,14.678786
m7_in,m7_q_l1,1,l2,k2,14.678786
m7_q_l1,ss,1,l2,k2,14.678786
source,m3_in,2,l2,k2,14.658762
source,m10_in,1,l2,k2,14.540995
m10_in,m10_q_l2,1,l2,k2,14.540995
m10_q_l2,ss,1,l2,k2,14.540995
source,m3_in,1,l1,k2,14.4239
m3_in,m2_in,1,l1,k2,14.4239
source,m9_in,2,l2,k3,14.423404
source,m7_in,1,l2,k4,14.421327
m7_in,m7_q_l1,1,l2,k4,14.421327
m7_q_l1,ss,1,l2,k4,14.421327
source,m9_in,2,l1,k3,14.285057
source,m6_in,2,l2,k2,14.203231
source,m10_in,2,l2,k2,14.127683
source,m6_in,2,l2,k1,14.02993
source,m3_in,1,l1,k4,13.962256
m3_in,m4_in,1,l1,k4,13.962256
source,m5_in,2,l2,k4,13.878846
source,m1_in,1,l2,k2,13.857019
m1_in,m1_q_l1,1,l2,k2,13.857019
m1_q_l1,ss,1,l2,k2,13.857019
source,m5_in,1,l2,k5,13.832838
m5_in,m5_q_l1,1,l2,k5,13.832838
m5_q_l1,ss,1,l2,k5,13.832838
source,m6_in,1,l1,k3,13.769079
m6_in,m3_in,1,l1,k3,13.769079
source,m6_in,2,l1,k2,13.75354
source,m5_in,2,l1,k3,13.705216
source,m4_in,1,l1,k5,13.698608
m4_in,m5_in,1,l1,k5,13.698608
source,m8_in,1,l2,k2,13.600214
m8_in,m8_q_l1,1,l2,k2,13.600214
m8_q_l1,ss,1,l2,k2,13.600214
source,m2_in,2,l1,k3,13.583298
source,m2_in,1,l2,k3,13.571034
