from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k3,38.761326
m5_q_l2,m5_q_l2,9,10,l1,k5,24.705213
m1_q_l2,m1_q_l2,9,10,l1,k1,23.632349
m9_q_l1,m9_q_l1,10,11,l1,k1,20.878537
m2_q_l2,m2_q_l2,10,11,l1,k2,20.503067
m5_q_l2,m5_q_l2,3,4,l1,k5,20.227984
m9_q_l1,m9_q_l1,8,9,l1,k2,19.75999
m4_q_l2,m4_q_l2,3,4,l1,k4,16.780379
m2_q_l2,m2_q_l2,8,9,l1,k2,13.644058
m9_q_l1,m9_q_l1,6,7,l1,k4,13.502329
m9_q_l1,m9_q_l1,10,11,l1,k3,13.341588
m9_q_l1,m9_q_l1,3,4,l1,k5,12.513448
m4_q_l2,m4_q_l2,1,2,l1,k4,12.156931
m3_q_l2,m3_q_l2,6,7,l1,k3,12.123314
m5_q_l2,m5_q_l2,8,9,l1,k5,10.598874
m9_q_l1,m9_q_l1,8,9,l1,k4,10.542571
m9_q_l1,m9_q_l1,7,8,l1,k1,10.51288
m3_q_l2,m3_q_l2,7,8,l1,k3,7.5039045
m3_q_l2,m3_q_l2,2,3,l1,k3,7.3374697
m2_q_l2,m2_q_l2,4,5,l1,k2,6.4496222
m9_q_l1,m9_q_l1,7,8,l1,k3,5.9697551
m9_q_l1,m9_q_l1,11,12,l1,k4,5.4960915
m3_q_l2,m3_q_l2,9,10,l1,k3,4.8891873
m3_q_l2,m3_q_l2,4,5,l1,k3,4.8157566
m1_q_l2,m1_q_l2,6,7,l1,k1,4.2572254
m9_q_l1,m9_q_l1,2,3,l1,k5,4.2503775
m1_q_l2,m1_q_l2,10,11,l1,k1,4.2150584
m4_q_l2,m4_q_l2,9,10,l1,k4,2.9895114
m9_q_l1,m9_q_l1,10,11,l1,k2,2.6344049
m4_q_l2,m4_q_l2,6,7,l1,k4,2.5136468
m4_q_l2,m4_q_l2,7,8,l1,k4,0.26164247
