from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,212.52404
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m4_q_l2,m4_q_l2,9,10,l1,k4,196.0777
m3_q_l2,m3_q_l2,8,9,l1,k3,161.63868
m4_q_l2,m4_q_l2,8,9,l1,k4,147.9537
m4_q_l2,m4_q_l2,7,8,l1,k4,132.24703
m3_q_l2,m3_q_l2,7,8,l1,k3,127.44408
m3_q_l2,m3_q_l2,11,12,l1,k3,123.95549
m1_q_l2,m1_q_l2,11,12,l1,k1,123.46499
m10_q_l1,m10_q_l1,11,12,l1,k2,122.11391
m10_q_l1,m10_q_l1,8,9,l1,k2,121.73582
m3_q_l2,m3_q_l2,10,11,l1,k3,118.0766
m3_q_l2,m3_q_l2,9,10,l1,k3,116.73431
m1_q_l1,m1_q_l1,11,12,l1,k5,109.10214
m4_q_l2,m4_q_l2,6,7,l1,k4,102.17017
m10_q_l1,m10_q_l1,7,8,l1,k2,101.62403
m3_q_l2,m3_q_l2,6,7,l1,k3,99.971123
m10_q_l1,m10_q_l1,10,11,l1,k2,96.367836
m3_q_l2,m3_q_l2,5,6,l1,k3,93.143469
m5_q_l2,m5_q_l2,11,12,l1,k5,91.719904
m10_q_l1,m10_q_l1,5,6,l1,k2,87.697533
m5_q_l2,m5_q_l2,10,11,l1,k5,86.590695
m10_q_l1,m10_q_l1,6,7,l1,k2,85.339948
m3_q_l2,m3_q_l2,4,5,l1,k3,84.149092
m10_q_l1,m10_q_l1,9,10,l1,k2,82.188857
m5_q_l2,m5_q_l2,8,9,l1,k5,82.06613
m1_q_l1,m1_q_l1,10,11,l1,k5,78.282999
m1_q_l2,m1_q_l2,10,11,l1,k1,77.242235
m5_q_l2,m5_q_l2,9,10,l1,k5,75.952528
m1_q_l1,m1_q_l1,7,8,l1,k1,62.675592
m1_q_l1,m1_q_l1,3,4,l1,k1,59.408218
m10_q_l1,m10_q_l1,6,7,l1,k5,58.851814
