from,to,t,l,k,flow
m2_in,m2_q_l2,10,l1,k2,126.72887
m3_in,m3_q_l2,4,l1,k3,111.38137
m1_in,m1_q_l2,1,l1,k1,110.89299
m3_in,m3_q_l2,8,l1,k3,100.88725
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_in,m3_q_l2,2,l1,k3,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_in,m1_q_l2,3,l1,k1,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_in,m2_q_l2,3,l1,k2,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_in,m3_q_l2,3,l1,k3,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_in,m1_q_l2,4,l1,k1,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_in,m2_q_l2,4,l1,k2,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_in,m4_q_l2,4,l1,k4,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_in,m5_q_l2,4,l1,k5,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_in,m1_q_l2,5,l1,k1,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_in,m2_q_l2,5,l1,k2,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_in,m4_q_l2,5,l1,k4,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_in,m5_q_l2,5,l1,k5,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_in,m1_q_l2,6,l1,k1,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_in,m2_q_l2,6,l1,k2,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_in,m3_q_l2,6,l1,k3,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_in,m4_q_l2,6,l1,k4,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_in,m5_q_l2,6,l1,k5,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_in,m1_q_l2,7,l1,k1,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_in,m2_q_l2,7,l1,k2,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_in,m3_q_l2,7,l1,k3,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_in,m4_q_l2,7,l1,k4,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_in,m1_q_l2,8,l1,k1,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_in,m2_q_l2,8,l1,k2,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_in,m4_q_l2,8,l1,k4,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_in,m5_q_l2,8,l1,k5,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_in,m1_q_l2,9,l1,k1,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_in,m2_q_l2,9,l1,k2,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_in,m4_q_l2,9,l1,k4,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_in,m5_q_l2,9,l1,k5,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_in,m1_q_l2,10,l1,k1,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_in,m3_q_l2,10,l1,k3,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_in,m4_q_l2,10,l1,k4,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_in,m5_q_l2,10,l1,k5,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_in,m1_q_l2,11,l1,k1,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_in,m3_q_l2,11,l1,k3,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_in,m4_q_l2,11,l1,k4,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_in,m5_q_l2,11,l1,k5,100.0
m5_q_l2,ss,11,l1,k5,100.0
m3_in,m3_q_l2,9,l1,k3,99.112748
m1_in,m1_q_l2,2,l1,k1,89.107007
m3_in,m3_q_l2,5,l1,k3,88.618633
m2_in,m2_q_l2,11,l1,k2,73.271132
m1_q_l1,ss,11,l1,k2,59.923336
m1_in,m1_q_l1,11,l1,k2,59.400034
m2_in,m2_q_l1,5,l1,k5,48.420477
m2_in,m2_q_l1,7,l1,k1,44.15088
m2_q_l1,ss,7,l1,k1,44.15088
m10_in,m10_q_l1,8,l1,k1,42.064918
m10_in,m10_q_l1,10,l1,k5,40.891379
m10_q_l1,ss,10,l1,k5,40.891379
m10_q_l1,ss,6,l1,k2,40.045382
m4_in,m4_q_l2,7,l2,k3,39.202763
m4_q_l2,ss,7,l2,k3,39.202763
m2_q_l1,ss,5,l1,k5,39.151736
m10_in,m10_q_l2,6,l2,k4,38.138766
m10_q_l2,ss,6,l2,k4,38.138766
m9_in,m9_q_l2,9,l2,k3,37.559032
m9_q_l2,ss,9,l2,k3,37.559032
m3_in,m3_q_l2,2,l2,k1,37.513198
m3_q_l2,ss,2,l2,k1,37.513198
m7_in,m7_q_l2,5,l2,k2,37.175365
m7_q_l2,ss,5,l2,k2,37.175365
m2_in,m2_q_l1,10,l1,k1,36.48768
m2_q_l1,ss,10,l1,k1,36.48768
m3_in,m3_q_l2,2,l2,k5,36.430127
m3_q_l2,ss,2,l2,k5,36.430127
m2_in,m2_q_l2,8,l2,k4,36.165735
m2_q_l2,ss,8,l2,k4,36.165735
m2_in,m2_q_l1,2,l1,k5,36.143329
m2_q_l1,ss,2,l1,k5,36.143329
m4_in,m4_q_l2,10,l2,k1,35.950886
m4_q_l2,ss,10,l2,k1,35.950886
m10_in,m10_q_l2,2,l2,k2,35.919654
m10_q_l2,ss,2,l2,k2,35.919654
m7_in,m7_q_l2,4,l2,k2,35.798926
m7_q_l2,ss,4,l2,k2,35.798926
m1_in,m1_q_l1,2,l1,k2,35.645027
m1_q_l1,ss,2,l1,k2,35.645027
m10_q_l1,ss,7,l1,k3,35.049479
m1_in,m1_q_l1,5,l1,k3,34.784512
m1_q_l1,ss,5,l1,k3,34.784512
m7_in,m7_q_l2,7,l2,k5,34.446757
m7_q_l2,ss,7,l2,k5,34.446757
m10_in,m10_q_l1,4,l1,k1,34.16962
m10_q_l1,ss,4,l1,k1,34.16962
m4_in,m4_q_l2,3,l2,k1,33.853551
m4_q_l2,ss,3,l2,k1,33.853551
m2_in,m2_q_l2,3,l2,k5,33.687679
m2_q_l2,ss,3,l2,k5,33.687679
m5_in,m5_q_l2,11,l2,k4,33.263148
m5_q_l2,ss,11,l2,k4,33.263148
