from,to,t,l,k,flow
source,m8_in,1,l1,k1,13.875935
m8_in,m1_in,1,l1,k1,13.875935
source,m2_in,4,l1,k2,13.853268
source,m9_in,3,l2,k4,13.822761
m9_in,m9_q_l2,3,l2,k4,13.822761
m9_q_l2,ss,3,l2,k4,13.822761
source,m2_in,2,l2,k4,13.754568
m2_in,m2_q_l2,2,l2,k4,13.754568
m2_q_l2,ss,2,l2,k4,13.754568
source,m8_in,3,l2,k1,13.751245
m8_in,m8_q_l2,3,l2,k1,13.751245
m8_q_l2,ss,3,l2,k1,13.751245
source,m8_in,2,l1,k2,13.728789
m8_in,m2_in,2,l1,k2,13.728789
source,m8_in,1,l2,k3,13.716829
m8_in,m8_q_l2,1,l2,k3,13.716829
m8_q_l2,ss,1,l2,k3,13.716829
source,m2_in,1,l1,k5,13.663092
m2_in,m5_in,1,l1,k5,13.663092
source,m4_in,2,l1,k4,13.658645
source,m7_in,2,l2,k3,13.654599
m7_in,m7_q_l2,2,l2,k3,13.654599
m7_q_l2,ss,2,l2,k3,13.654599
source,m5_in,2,l1,k3,13.593891
m5_in,m3_in,2,l1,k3,13.593891
source,m9_in,1,l2,k3,13.571531
m9_in,m9_q_l2,1,l2,k3,13.571531
m9_q_l2,ss,1,l2,k3,13.571531
source,m3_in,3,l2,k4,13.544525
m3_in,m3_q_l2,3,l2,k4,13.544525
m3_q_l2,ss,3,l2,k4,13.544525
source,m1_in,3,l1,k2,13.494318
m1_in,m2_in,3,l1,k2,13.494318
source,m3_in,3,l2,k2,13.465062
m3_in,m3_q_l2,3,l2,k2,13.465062
m3_q_l2,ss,3,l2,k2,13.465062
source,m8_in,2,l2,k3,13.460548
m8_in,m8_q_l2,2,l2,k3,13.460548
m8_q_l2,ss,2,l2,k3,13.460548
source,m10_in,4,l2,k5,13.457525
source,m6_in,2,l2,k4,13.45533
source,m2_in,3,l1,k5,13.423424
m2_in,m5_in,3,l1,k5,13.423424
source,m3_in,1,l2,k1,13.4167
m3_in,m3_q_l2,1,l2,k1,13.4167
m3_q_l2,ss,1,l2,k1,13.4167
source,m4_in,3,l2,k5,13.392433
source,m8_in,2,l2,k2,13.327162
m8_in,m8_q_l2,2,l2,k2,13.327162
m8_q_l2,ss,2,l2,k2,13.327162
source,m3_in,4,l1,k4,13.291126
source,m2_in,2,l1,k2,13.263408
source,m9_in,3,l2,k5,13.223038
m9_in,m9_q_l2,3,l2,k5,13.223038
m9_q_l2,ss,3,l2,k5,13.223038
source,m5_in,2,l1,k4,13.215041
m5_in,m4_in,2,l1,k4,13.215041
source,m10_in,2,l2,k2,13.205742
m10_in,m10_q_l2,2,l2,k2,13.205742
m10_q_l2,ss,2,l2,k2,13.205742
source,m5_in,1,l2,k1,13.148437
m5_in,m5_q_l2,1,l2,k1,13.148437
m5_q_l2,ss,1,l2,k1,13.148437
source,m9_in,2,l1,k4,13.119533
source,m5_in,3,l1,k4,13.116443
m5_in,m4_in,3,l1,k4,13.116443
source,m10_in,3,l2,k3,13.089639
m10_in,m10_q_l2,3,l2,k3,13.089639
m10_q_l2,ss,3,l2,k3,13.089639
source,m5_in,3,l2,k1,13.079382
m5_in,m5_q_l2,3,l2,k1,13.079382
m5_q_l2,ss,3,l2,k1,13.079382
source,m6_in,4,l1,k4,13.077911
source,m4_in,1,l2,k4,13.069687
m4_in,m3_in,1,l2,k4,13.069687
source,m7_in,1,l2,k4,12.989227
m7_in,m7_q_l2,1,l2,k4,12.989227
m7_q_l2,ss,1,l2,k4,12.989227
source,m7_in,1,l2,k5,12.988463
m7_in,m7_q_l2,1,l2,k5,12.988463
m7_q_l2,ss,1,l2,k5,12.988463
source,m6_in,2,l1,k1,12.922993
m6_in,m1_in,2,l1,k1,12.922993
source,m6_in,2,l1,k4,12.881872
m6_in,m4_in,2,l1,k4,12.881872
source,m4_in,4,l1,k2,12.809979
source,m10_in,2,l2,k4,12.797667
m10_in,m10_q_l2,2,l2,k4,12.797667
m10_q_l2,ss,2,l2,k4,12.797667
source,m10_in,2,l1,k5,12.77769
m10_in,m5_in,2,l1,k5,12.77769
source,m8_in,1,l1,k4,12.771625
m8_in,m4_in,1,l1,k4,12.771625
source,m10_in,3,l1,k4,12.728778
m10_in,m4_in,3,l1,k4,12.728778
source,m6_in,1,l1,k5,12.693973
m6_in,m5_in,1,l1,k5,12.693973
source,m5_in,1,l1,k2,12.650961
m5_in,m2_in,1,l1,k2,12.650961
source,m2_in,3,l2,k2,12.636828
m2_in,m1_in,3,l2,k2,12.636828
source,m3_in,2,l1,k4,12.625478
m3_in,m4_in,2,l1,k4,12.625478
source,m9_in,2,l2,k3,12.547971
source,m4_in,3,l2,k1,12.53526
m4_in,m4_q_l2,3,l2,k1,12.53526
m4_q_l2,ss,3,l2,k1,12.53526
source,m5_in,2,l1,k1,12.51644
m5_in,m1_in,2,l1,k1,12.51644
source,m5_in,1,l2,k4,12.50717
m5_in,m5_q_l2,1,l2,k4,12.50717
m5_q_l2,ss,1,l2,k4,12.50717
source,m10_in,2,l1,k4,12.466976
source,m5_in,4,l2,k3,12.447807
source,m4_in,3,l2,k2,12.418622
m4_in,m4_q_l2,3,l2,k2,12.418622
m4_q_l2,ss,3,l2,k2,12.418622
source,m10_in,1,l2,k1,12.417604
m10_in,m10_q_l2,1,l2,k1,12.417604
m10_q_l2,ss,1,l2,k1,12.417604
source,m1_in,2,l2,k1,12.379954
m1_in,m5_in,2,l2,k1,12.379954
source,m4_in,2,l1,k1,12.31073
m4_in,m1_in,2,l1,k1,12.31073
source,m1_in,2,l1,k2,12.290497
m1_in,m2_in,2,l1,k2,12.290497
source,m1_in,3,l1,k3,12.244553
m1_in,m3_in,3,l1,k3,12.244553
source,m2_in,4,l1,k4,12.234164
source,m1_in,3,l1,k5,12.224434
m1_in,m5_in,3,l1,k5,12.224434
source,m8_in,3,l1,k2,12.211844
m8_in,m2_in,3,l1,k2,12.211844
source,m1_in,1,l1,k5,12.19469
m1_in,m5_in,1,l1,k5,12.19469
source,m5_in,4,l1,k2,12.177576
source,m7_in,2,l1,k3,12.156013
m7_in,m3_in,2,l1,k3,12.156013
