from,to,t_from,t_to,l,k,flow
m9_q_l1,m9_q_l1,11,12,l1,k1,54.537905
m9_q_l1,m9_q_l1,11,12,l1,k3,47.620068
m9_q_l1,m9_q_l1,10,11,l1,k1,37.450246
m9_q_l1,m9_q_l1,10,11,l1,k3,29.931375
m9_q_l1,m9_q_l1,4,5,l1,k3,28.444695
m5_q_l2,m5_q_l2,8,9,l1,k5,27.819634
m9_q_l1,m9_q_l1,11,12,l1,k4,23.669224
m5_q_l2,m5_q_l2,9,10,l1,k5,21.951779
m9_q_l1,m9_q_l1,8,9,l1,k2,21.103854
m9_q_l1,m9_q_l1,6,7,l1,k4,19.948486
m9_q_l1,m9_q_l1,7,8,l1,k1,15.61316
m1_q_l2,m1_q_l2,1,2,l1,k1,14.954221
m9_q_l1,m9_q_l1,9,10,l1,k3,14.904513
m2_q_l2,m2_q_l2,10,11,l1,k2,14.591511
m9_q_l1,m9_q_l1,5,6,l1,k2,13.281264
m3_q_l2,m3_q_l2,7,8,l1,k3,13.273276
m5_q_l2,m5_q_l2,5,6,l1,k5,12.336133
m4_q_l2,m4_q_l2,6,7,l1,k4,12.186184
m1_q_l2,m1_q_l2,9,10,l1,k1,12.021967
m9_q_l1,m9_q_l1,5,6,l1,k4,11.959362
m9_q_l1,m9_q_l1,10,11,l1,k2,11.693837
m9_q_l1,m9_q_l1,6,7,l1,k5,10.850424
m9_q_l1,m9_q_l1,8,9,l1,k4,10.780882
m5_q_l2,m5_q_l2,6,7,l1,k5,10.524202
m5_q_l2,m5_q_l2,3,4,l1,k5,9.6789393
m1_q_l2,m1_q_l2,5,6,l1,k1,9.2959451
m4_q_l2,m4_q_l2,5,6,l1,k4,7.2659607
m9_q_l1,m9_q_l1,7,8,l1,k2,6.8836961
m9_q_l1,m9_q_l1,1,2,l1,k4,5.7155233
m9_q_l1,m9_q_l1,4,5,l1,k2,5.1162796
m9_q_l1,m9_q_l1,2,3,l1,k5,4.0125588
m3_q_l2,m3_q_l2,10,11,l1,k3,3.2211222
m9_q_l1,m9_q_l1,3,4,l1,k5,2.8460104
m9_q_l1,m9_q_l1,10,11,l1,k4,2.4219767
m9_q_l1,m9_q_l1,8,9,l1,k1,1.0121347
m3_q_l2,m3_q_l2,2,3,l1,k3,0.57544834
m2_q_l2,m2_q_l2,6,7,l1,k2,0.2023311
