from,to,t,l,k,flow
m2_in,m2_q_l2,10,l1,k2,100.57575
m1_in,m1_q_l2,1,l1,k1,100.0
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_in,m1_q_l2,2,l1,k1,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_in,m3_q_l2,2,l1,k3,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_in,m1_q_l2,3,l1,k1,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_in,m2_q_l2,3,l1,k2,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_in,m3_q_l2,3,l1,k3,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_in,m1_q_l2,4,l1,k1,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_in,m2_q_l2,4,l1,k2,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_in,m3_q_l2,4,l1,k3,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_in,m4_q_l2,4,l1,k4,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_in,m5_q_l2,4,l1,k5,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_in,m1_q_l2,5,l1,k1,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_in,m2_q_l2,5,l1,k2,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_in,m3_q_l2,5,l1,k3,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_in,m4_q_l2,5,l1,k4,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_in,m5_q_l2,5,l1,k5,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_in,m1_q_l2,6,l1,k1,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_in,m2_q_l2,6,l1,k2,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_in,m3_q_l2,6,l1,k3,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_in,m4_q_l2,6,l1,k4,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_in,m5_q_l2,6,l1,k5,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_in,m1_q_l2,7,l1,k1,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_in,m2_q_l2,7,l1,k2,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_in,m3_q_l2,7,l1,k3,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_in,m4_q_l2,7,l1,k4,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_in,m1_q_l2,8,l1,k1,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_in,m2_q_l2,8,l1,k2,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_in,m3_q_l2,8,l1,k3,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_in,m4_q_l2,8,l1,k4,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_in,m5_q_l2,8,l1,k5,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_in,m1_q_l2,9,l1,k1,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_in,m2_q_l2,9,l1,k2,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_in,m3_q_l2,9,l1,k3,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_in,m4_q_l2,9,l1,k4,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_in,m5_q_l2,9,l1,k5,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_in,m1_q_l2,10,l1,k1,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_in,m3_q_l2,10,l1,k3,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_in,m4_q_l2,10,l1,k4,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_in,m5_q_l2,10,l1,k5,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_in,m1_q_l2,11,l1,k1,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_in,m3_q_l2,11,l1,k3,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_in,m4_q_l2,11,l1,k4,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_in,m5_q_l2,11,l1,k5,100.0
m5_q_l2,ss,11,l1,k5,100.0
m2_in,m2_q_l2,11,l1,k2,99.424253
m10_in,m10_q_l1,6,l1,k2,40.158652
m10_q_l1,ss,6,l1,k2,40.158652
m2_in,m2_q_l1,5,l1,k5,39.420477
m2_q_l1,ss,5,l1,k5,39.420477
m4_in,m4_q_l2,7,l2,k3,37.202763
m4_q_l2,ss,7,l2,k3,37.202763
m10_in,m10_q_l2,6,l2,k4,36.138766
m10_q_l2,ss,6,l2,k4,36.138766
m2_in,m2_q_l1,2,l1,k5,35.906224
m2_q_l1,ss,2,l1,k5,35.906224
m9_in,m9_q_l2,9,l2,k3,35.559032
m9_q_l2,ss,9,l2,k3,35.559032
m3_in,m3_q_l2,2,l2,k1,35.513198
m3_q_l2,ss,2,l2,k1,35.513198
m1_in,m1_q_l1,8,l1,k5,35.335845
m1_q_l1,ss,8,l1,k5,35.335845
m7_in,m7_q_l2,5,l2,k2,35.175365
m7_q_l2,ss,5,l2,k2,35.175365
m3_in,m3_q_l2,2,l2,k5,34.430127
m3_q_l2,ss,2,l2,k5,34.430127
m10_in,m10_q_l1,8,l1,k1,34.227339
m10_q_l1,ss,8,l1,k1,34.227339
m2_in,m2_q_l2,8,l2,k4,34.165735
m2_q_l2,ss,8,l2,k4,34.165735
m2_in,m2_q_l1,7,l1,k1,34.15088
m2_q_l1,ss,7,l1,k1,34.15088
m4_in,m4_q_l2,10,l2,k1,33.950886
m4_q_l2,ss,10,l2,k1,33.950886
m10_in,m10_q_l2,2,l2,k2,33.919654
m10_q_l2,ss,2,l2,k2,33.919654
m7_in,m7_q_l2,4,l2,k2,33.798926
m7_q_l2,ss,4,l2,k2,33.798926
m2_in,m2_q_l1,10,l1,k1,32.698723
m2_q_l1,ss,10,l1,k1,32.698723
m10_in,m10_q_l1,1,l1,k1,32.565785
m10_q_l1,ss,1,l1,k1,32.565785
m7_in,m7_q_l2,7,l2,k5,32.446757
m7_q_l2,ss,7,l2,k5,32.446757
m1_in,m1_q_l1,10,l1,k2,32.036057
m1_q_l1,ss,10,l1,k2,32.036057
m4_in,m4_q_l2,3,l2,k1,31.853551
m4_q_l2,ss,3,l2,k1,31.853551
