from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,10,11,l1,k4,218.78216
m3_q_l2,m3_q_l2,8,9,l1,k3,209.7778
m4_q_l2,m4_q_l2,11,12,l1,k4,200.0
m3_q_l2,m3_q_l2,7,8,l1,k3,183.02798
m3_q_l2,m3_q_l2,9,10,l1,k3,177.88172
m4_q_l2,m4_q_l2,9,10,l1,k4,177.58744
m3_q_l2,m3_q_l2,11,12,l1,k3,160.68982
m3_q_l2,m3_q_l2,10,11,l1,k3,159.26802
m3_q_l2,m3_q_l2,5,6,l1,k3,134.34923
m3_q_l2,m3_q_l2,6,7,l1,k3,134.20839
m4_q_l2,m4_q_l2,8,9,l1,k4,131.85085
m4_q_l2,m4_q_l2,7,8,l1,k4,128.1839
m1_q_l2,m1_q_l2,11,12,l1,k1,125.85074
m4_q_l2,m4_q_l2,6,7,l1,k4,117.7626
m10_q_l1,m10_q_l1,11,12,l1,k2,116.82207
m3_q_l2,m3_q_l2,4,5,l1,k3,111.35028
m1_q_l1,m1_q_l1,11,12,l1,k5,109.09709
m10_q_l1,m10_q_l1,8,9,l1,k2,81.336142
m10_q_l1,m10_q_l1,10,11,l1,k2,81.174364
m4_q_l2,m4_q_l2,5,6,l1,k4,77.216807
m1_q_l1,m1_q_l1,10,11,l1,k5,75.491865
m1_q_l2,m1_q_l2,10,11,l1,k1,75.297085
m10_q_l1,m10_q_l1,7,8,l1,k2,68.907263
m10_q_l1,m10_q_l1,9,10,l1,k2,68.900546
m4_q_l2,m4_q_l2,4,5,l1,k4,60.868223
m1_q_l1,m1_q_l1,7,8,l1,k1,60.389316
m10_q_l1,m10_q_l1,6,7,l1,k5,58.686487
m1_q_l1,m1_q_l1,10,11,l1,k2,58.610054
m5_q_l2,m5_q_l2,11,12,l1,k5,57.895705
m10_q_l1,m10_q_l1,6,7,l1,k2,53.191247
m10_q_l1,m10_q_l1,5,6,l1,k2,52.755499
m1_q_l1,m1_q_l1,9,10,l1,k5,49.358172
