from,to,t,l,k,flow
m3_in,m3_q_l2,4,l1,k3,175.83147
m1_in,m1_q_l2,11,l1,k1,150.55365
m3_in,m3_q_l2,7,l1,k3,148.81959
m4_in,m4_q_l2,9,l1,k4,145.73659
m1_in,m1_q_l2,10,l1,k1,141.69872
m4_in,m4_q_l2,10,l1,k4,141.19473
m4_in,m4_q_l2,6,l1,k4,140.5458
m3_in,m3_q_l2,3,l1,k3,135.51881
m5_in,m5_q_l2,8,l1,k5,134.469
m4_in,m4_q_l2,2,l1,k4,127.23384
m3_in,m3_q_l2,8,l1,k3,126.74982
m5_in,m5_q_l2,3,l1,k5,126.36104
m3_in,m3_q_l2,5,l1,k3,122.99895
m4_in,m4_q_l2,4,l1,k4,120.43487
m5_in,m5_q_l2,10,l1,k5,119.5245
m1_in,m1_q_l2,8,l1,k1,119.02904
m1_in,m1_q_l2,4,l1,k1,118.61439
m2_in,m2_q_l2,8,l1,k2,118.39444
m5_in,m5_q_l2,1,l1,k5,117.9057
m1_in,m1_q_l2,1,l1,k1,117.59545
m4_in,m4_q_l2,5,l1,k4,116.34858
m1_in,m1_q_l2,9,l1,k1,114.56933
m4_in,m4_q_l2,3,l1,k4,113.19952
m4_in,m4_q_l2,7,l1,k4,110.4213
m2_in,m2_q_l2,10,l1,k2,109.99371
m1_in,m1_q_l2,5,l1,k1,109.84034
m5_in,m5_q_l2,11,l1,k5,109.06359
m5_in,m5_q_l2,7,l1,k5,107.51513
m2_in,m2_q_l2,3,l1,k2,104.28054
m5_in,m5_q_l2,6,l1,k5,103.67263
m4_in,m4_q_l2,8,l1,k4,103.66694
m3_in,m3_q_l2,11,l1,k3,101.4218
m1_in,m1_q_l2,2,l1,k1,100.66777
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_in,m3_q_l2,2,l1,k3,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_in,m2_q_l2,5,l1,k2,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_in,m2_q_l2,6,l1,k2,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_in,m1_q_l2,7,l1,k1,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_in,m2_q_l2,7,l1,k2,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_q_l2,ss,11,l1,k5,100.0
m4_q_l2,ss,12,l1,k4,100.0
m3_in,m3_q_l2,6,l1,k3,99.859156
m5_in,m5_q_l2,5,l1,k5,97.198489
m2_in,m2_q_l2,4,l1,k2,95.719461
m2_in,m2_q_l2,11,l1,k2,90.006294
m5_in,m5_q_l2,9,l1,k5,83.650859
m5_in,m5_q_l2,2,l1,k5,82.094305
m1_in,m1_q_l2,3,l1,k1,81.736782
m2_in,m2_q_l2,9,l1,k2,81.605564
m3_in,m3_q_l2,10,l1,k3,81.3863
m4_in,m4_q_l2,11,l1,k4,81.217835
m3_q_l2,ss,12,l1,k3,80.344909
m1_q_l1,ss,11,l1,k2,80.0
m5_in,m5_q_l2,4,l1,k5,76.440468
m1_in,m1_q_l2,6,l1,k1,71.545271
m3_in,m3_q_l2,9,l1,k3,68.103914
m1_q_l1,ss,3,l1,k2,63.871094
m1_q_l2,ss,12,l1,k1,62.925369
m1_q_l1,ss,8,l1,k1,60.389316
m10_q_l1,ss,12,l1,k2,58.411037
m1_q_l1,ss,12,l1,k5,54.548546
m1_in,m1_q_l1,10,l1,k3,54.227929
m1_q_l1,ss,10,l1,k3,54.227929
m1_in,m1_q_l1,9,l1,k3,54.096305
m1_q_l1,ss,9,l1,k3,54.096305
m10_q_l1,ss,5,l1,k1,53.354867
m1_q_l1,ss,4,l1,k5,53.028917
m1_in,m1_q_l1,2,l1,k5,52.858407
m1_q_l1,ss,2,l1,k5,52.858407
m10_q_l1,ss,9,l1,k1,51.571633
m1_q_l1,ss,5,l1,k3,50.073022
m1_q_l1,ss,6,l1,k2,49.165204
m10_q_l1,ss,7,l1,k5,48.133205
m10_in,m10_q_l1,5,l1,k5,46.424013
m10_in,m10_q_l1,6,l1,k1,46.094972
m10_q_l1,ss,6,l1,k1,46.094972
m1_in,m1_q_l1,4,l1,k5,45.396387
m10_in,m10_q_l1,5,l1,k1,44.420868
m1_in,m1_q_l1,11,l1,k4,44.060997
m4_in,m4_q_l2,7,l2,k5,42.760527
m4_q_l2,ss,7,l2,k5,42.760527
m1_in,m1_q_l2,10,l2,k3,41.052546
m1_q_l2,ss,10,l2,k3,41.052546
m10_q_l1,ss,10,l1,k5,40.862058
m10_q_l1,ss,4,l1,k5,40.677115
m6_in,m6_q_l2,6,l2,k4,40.382104
m6_q_l2,ss,6,l2,k4,40.382104
m4_in,m4_q_l2,2,l2,k5,39.627419
m4_q_l2,ss,2,l2,k5,39.627419
m10_q_l1,ss,10,l1,k3,39.137942
m7_in,m7_q_l2,2,l2,k1,39.084888
m7_q_l2,ss,2,l2,k1,39.084888
m10_in,m10_q_l1,1,l1,k1,38.41225
m10_q_l1,ss,1,l1,k1,38.41225
m10_q_l1,ss,3,l1,k1,37.572854
m9_in,m9_q_l2,9,l2,k3,37.559032
m9_q_l2,ss,9,l2,k3,37.559032
m10_q_l1,ss,8,l1,k5,37.400474
m7_in,m7_q_l2,5,l2,k2,37.175365
m7_q_l2,ss,5,l2,k2,37.175365
m10_q_l1,ss,2,l1,k5,36.751255
m2_in,m2_q_l2,10,l2,k4,36.719409
m2_q_l2,ss,10,l2,k4,36.719409
m4_in,m4_q_l2,10,l2,k2,36.405546
m4_q_l2,ss,10,l2,k2,36.405546
m1_in,m1_q_l1,10,l1,k2,36.11294
m1_in,m1_q_l1,9,l1,k5,35.721632
m10_in,m10_q_l1,11,l1,k2,35.647709
m1_in,m1_q_l1,2,l1,k2,35.645027
m1_in,m1_q_l1,6,l1,k2,35.600725
m8_in,m8_q_l2,10,l2,k1,35.300134
m8_q_l2,ss,10,l2,k1,35.300134
m4_in,m4_q_l2,3,l2,k2,35.011092
m4_q_l2,ss,3,l2,k2,35.011092
m10_in,m10_q_l1,8,l1,k1,34.968297
m10_in,m10_q_l1,9,l1,k1,34.674928
m9_in,m9_q_l2,8,l2,k1,34.546692
m9_q_l2,ss,8,l2,k1,34.546692
m10_in,m10_q_l1,4,l1,k2,34.435579
m10_in,m10_q_l1,11,l1,k3,34.359713
m10_q_l1,ss,11,l1,k3,34.359713
m1_in,m1_q_l2,3,l2,k3,34.313415
m1_q_l2,ss,3,l2,k3,34.313415
m1_in,m1_q_l1,1,l1,k2,34.247389
m1_q_l1,ss,1,l1,k2,34.247389
m7_in,m7_q_l2,8,l2,k4,34.189954
m7_q_l2,ss,8,l2,k4,34.189954
m1_in,m1_q_l2,7,l2,k3,34.155884
m1_q_l2,ss,7,l2,k3,34.155884
m4_in,m4_q_l2,3,l2,k1,33.853551
m4_q_l2,ss,3,l2,k1,33.853551
m6_in,m6_q_l2,3,l2,k5,33.776526
m6_q_l2,ss,3,l2,k5,33.776526
m5_in,m5_q_l2,5,l2,k4,33.772069
m5_q_l2,ss,5,l2,k4,33.772069
m7_in,m7_q_l2,6,l2,k1,33.739512
m7_q_l2,ss,6,l2,k1,33.739512
m1_in,m1_q_l1,11,l1,k5,33.605227
m10_in,m10_q_l1,1,l1,k3,33.356936
m10_q_l1,ss,1,l1,k3,33.356936
m7_in,m7_q_l2,4,l2,k4,33.055289
m7_q_l2,ss,4,l2,k4,33.055289
m3_in,m3_q_l2,8,l2,k5,32.98898
m3_q_l2,ss,8,l2,k5,32.98898
m4_in,m4_q_l2,11,l2,k3,32.872484
m4_q_l2,ss,11,l2,k3,32.872484
m10_in,m10_q_l2,4,l2,k2,32.80417
m10_q_l2,ss,4,l2,k2,32.80417
m1_in,m1_q_l1,9,l1,k2,32.061307
m5_in,m5_q_l2,2,l2,k4,31.901693
m5_q_l2,ss,2,l2,k4,31.901693
m10_in,m10_q_l1,4,l1,k1,31.565595
m8_in,m8_q_l2,9,l2,k2,31.385574
m8_q_l2,ss,9,l2,k2,31.385574
m2_in,m2_q_l2,7,l2,k4,31.282534
m2_q_l2,ss,7,l2,k4,31.282534
m7_in,m7_q_l2,1,l2,k2,31.127326
m7_q_l2,ss,1,l2,k2,31.127326
m1_in,m1_q_l1,6,l1,k1,31.105869
m7_in,m7_q_l2,1,l2,k1,31.059584
m7_q_l2,ss,1,l2,k1,31.059584
m2_in,m2_q_l2,11,l2,k1,30.86081
m2_q_l2,ss,11,l2,k1,30.86081
m1_q_l1,ss,6,l1,k3,30.834796
m6_in,m6_q_l2,11,l2,k4,30.648376
m6_q_l2,ss,11,l2,k4,30.648376
m7_in,m7_q_l2,11,l2,k5,30.301576
m7_q_l2,ss,11,l2,k5,30.301576
m10_q_l1,ss,3,l1,k4,30.255287
m10_in,m10_q_l2,5,l2,k3,29.99993
m10_q_l2,ss,5,l2,k3,29.99993
m1_q_l1,ss,5,l1,k5,29.926978
m6_in,m6_q_l2,5,l2,k1,29.821334
m6_q_l2,ss,5,l2,k1,29.821334
m8_in,m8_q_l2,9,l2,k1,29.787379
m8_q_l2,ss,9,l2,k1,29.787379
m3_in,m3_q_l2,4,l2,k5,29.295061
m3_q_l2,ss,4,l2,k5,29.295061
m1_in,m1_q_l1,7,l1,k1,29.283447
m5_q_l2,ss,12,l1,k5,28.947853
m9_in,m9_q_l2,2,l2,k3,28.544665
m9_q_l2,ss,2,l2,k3,28.544665
m1_in,m1_q_l1,1,l1,k5,28.477842
m1_q_l1,ss,1,l1,k5,28.477842
m10_q_l1,ss,9,l1,k2,28.428367
m1_in,m1_q_l1,3,l1,k2,28.226067
m7_in,m7_q_l2,11,l2,k2,28.077569
m7_q_l2,ss,11,l2,k2,28.077569
m1_in,m1_q_l1,6,l1,k3,27.366517
m6_in,m6_q_l2,6,l2,k5,27.352089
m6_q_l2,ss,6,l2,k5,27.352089
m10_in,m10_q_l1,3,l1,k1,27.348036
m10_in,m10_q_l1,9,l1,k3,27.088191
m10_q_l1,ss,8,l1,k1,26.974381
m10_in,m10_q_l1,4,l1,k5,26.712493
source,m4_in,12,l1,k5,26.470653
m10_in,m10_q_l1,11,l1,k4,26.384164
m9_in,m9_q_l2,7,l2,k2,26.290185
m9_q_l2,ss,7,l2,k2,26.290185
source,m6_in,4,l1,k3,26.283449
m6_in,m3_in,4,l1,k3,26.283449
m7_in,m7_q_l2,6,l2,k2,26.28235
m7_q_l2,ss,6,l2,k2,26.28235
m5_in,m5_q_l2,8,l2,k3,26.25085
m5_q_l2,ss,8,l2,k3,26.25085
source,m3_in,10,l1,k4,26.242552
m3_in,m4_in,10,l1,k4,26.242552
m5_in,m5_q_l2,8,l2,k2,26.225771
m5_q_l2,ss,8,l2,k2,26.225771
m7_in,m7_q_l2,4,l2,k3,26.172736
m7_q_l2,ss,4,l2,k3,26.172736
m1_in,m1_q_l1,10,l1,k5,26.133693
source,m7_in,10,l2,k2,26.011702
m7_in,m7_q_l2,10,l2,k2,26.011702
m7_q_l2,ss,10,l2,k2,26.011702
m8_in,m8_q_l2,2,l2,k2,25.863441
m8_q_l2,ss,2,l2,k2,25.863441
m3_in,m3_q_l2,9,l2,k5,25.802886
m3_q_l2,ss,9,l2,k5,25.802886
m1_q_l1,ss,10,l1,k4,25.772071
source,m6_in,3,l1,k3,25.688964
m6_in,m3_in,3,l1,k3,25.688964
source,m5_in,8,l1,k5,25.679818
source,m4_in,10,l1,k1,25.657155
m4_in,m1_in,10,l1,k1,25.657155
m2_in,m2_q_l2,1,l2,k4,25.627324
m2_q_l2,ss,1,l2,k4,25.627324
source,m10_in,12,l1,k4,25.5519
source,m9_in,4,l2,k1,25.364819
m9_in,m9_q_l2,4,l2,k1,25.364819
m9_q_l2,ss,4,l2,k1,25.364819
source,m7_in,3,l2,k5,25.359144
m7_in,m7_q_l2,3,l2,k5,25.359144
