from,to,t,l,k,flow
m4_in,m4_q_l2,8,l1,k4,151.9199
m1_in,m1_q_l2,3,l1,k1,148.29191
m3_in,m3_q_l2,4,l1,k3,127.93538
m3_in,m3_q_l2,11,l1,k3,122.25354
m1_in,m1_q_l2,9,l1,k1,122.06188
m5_in,m5_q_l2,4,l1,k5,118.06217
m3_in,m3_q_l2,6,l1,k3,112.86297
m5_in,m5_q_l2,8,l1,k5,112.34474
m3_in,m3_q_l2,2,l1,k3,109.84443
m2_in,m2_q_l2,5,l1,k2,109.27322
m2_in,m2_q_l2,3,l1,k2,108.14896
m5_in,m5_q_l2,10,l1,k5,108.08932
m3_in,m3_q_l2,8,l1,k3,107.90928
m1_in,m1_q_l2,5,l1,k1,102.04157
m1_in,m1_q_l2,7,l1,k1,100.8675
m4_in,m4_q_l2,4,l1,k4,100.81542
m4_in,m4_q_l2,10,l1,k4,100.27668
m1_in,m1_q_l2,1,l1,k1,100.0
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_in,m1_q_l2,2,l1,k1,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_in,m4_q_l2,6,l1,k4,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_in,m2_q_l2,7,l1,k2,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_in,m4_q_l2,7,l1,k4,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_in,m2_q_l2,8,l1,k2,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_in,m2_q_l2,9,l1,k2,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_in,m2_q_l2,10,l1,k2,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_in,m3_q_l2,10,l1,k3,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_in,m1_q_l2,11,l1,k1,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_in,m2_q_l2,11,l1,k2,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_q_l2,ss,11,l1,k5,100.0
m4_in,m4_q_l2,5,l1,k4,99.18458
m1_in,m1_q_l2,8,l1,k1,99.132501
m5_in,m5_q_l2,5,l1,k5,98.898637
m1_in,m1_q_l2,6,l1,k1,97.958432
m3_in,m3_q_l2,9,l1,k3,92.090716
m5_in,m5_q_l2,11,l1,k5,91.910679
m2_in,m2_q_l2,4,l1,k2,91.851037
m2_in,m2_q_l2,6,l1,k2,90.726783
m3_in,m3_q_l2,3,l1,k3,90.155571
m3_in,m3_q_l2,5,l1,k3,87.948745
m5_in,m5_q_l2,9,l1,k5,87.655263
m5_in,m5_q_l2,6,l1,k5,83.039197
m2_q_l1,ss,8,l1,k4,80.0
m2_q_l1,ss,10,l1,k1,80.0
m3_q_l1,ss,10,l1,k4,80.0
m3_q_l1,ss,11,l1,k1,80.0
m2_q_l1,ss,11,l1,k5,80.0
m4_in,m4_q_l2,11,l1,k4,79.289634
m1_in,m1_q_l2,10,l1,k1,77.938124
m1_q_l1,ss,11,l1,k4,77.355004
m3_in,m3_q_l2,7,l1,k3,71.252904
m4_in,m4_q_l2,9,l1,k4,68.513781
m1_q_l1,ss,7,l1,k5,67.305062
m3_q_l1,ss,6,l1,k2,65.510454
m10_q_l1,ss,11,l1,k4,65.012371
m1_in,m1_q_l1,9,l1,k3,64.755476
m1_q_l1,ss,9,l1,k3,64.755476
m10_q_l1,ss,9,l1,k5,62.115784
m1_q_l1,ss,5,l1,k3,62.105034
m2_q_l1,ss,5,l1,k1,61.463893
m10_q_l1,ss,7,l1,k3,60.386387
m10_q_l1,ss,6,l1,k1,59.360439
m10_q_l1,ss,10,l1,k1,59.106533
m3_in,m3_q_l1,4,l1,k2,58.765578
m1_q_l1,ss,4,l1,k5,58.695464
m3_q_l1,ss,4,l1,k1,58.602703
m3_q_l1,ss,3,l1,k2,58.039468
m2_in,m2_q_l1,4,l1,k1,56.839966
m10_q_l1,ss,12,l1,k2,53.071255
m3_in,m3_q_l1,7,l1,k3,52.597251
m3_q_l1,ss,8,l1,k3,52.597251
m3_q_l1,ss,7,l1,k2,52.270916
m10_in,m10_q_l1,6,l1,k1,52.27053
m1_in,m1_q_l2,4,l1,k1,51.708094
m2_q_l1,ss,4,l1,k3,51.537972
m1_in,m1_q_l2,9,l2,k4,50.86659
m1_q_l2,ss,9,l2,k4,50.86659
m2_in,m2_q_l1,1,l1,k3,50.603942
m2_q_l1,ss,1,l1,k3,50.603942
m2_in,m2_q_l1,6,l1,k5,49.928473
m3_in,m3_q_l1,2,l1,k1,47.554042
m3_q_l1,ss,2,l1,k1,47.554042
m3_q_l1,ss,9,l1,k2,47.076994
m10_in,m10_q_l1,8,l1,k1,46.318416
m10_q_l1,ss,8,l1,k1,46.318416
m10_in,m10_q_l2,11,l2,k4,45.455375
m10_q_l2,ss,11,l2,k4,45.455375
m1_in,m1_q_l1,11,l1,k3,45.302585
m4_in,m4_q_l2,7,l2,k3,45.070334
m4_q_l2,ss,7,l2,k3,45.070334
m5_in,m5_q_l2,5,l2,k2,44.498185
m5_q_l2,ss,5,l2,k2,44.498185
m3_in,m3_q_l2,7,l2,k1,44.495369
m3_q_l2,ss,7,l2,k1,44.495369
m2_in,m2_q_l1,7,l1,k1,44.327936
m2_q_l1,ss,7,l1,k1,44.327936
m10_q_l1,ss,4,l1,k1,44.234595
m10_in,m10_q_l1,2,l1,k2,44.162991
m6_in,m6_q_l2,10,l2,k2,43.874752
m6_q_l2,ss,10,l2,k2,43.874752
m6_in,m6_q_l2,1,l2,k1,43.809132
m6_q_l2,ss,1,l2,k1,43.809132
m4_in,m4_q_l2,11,l2,k5,43.785034
m4_q_l2,ss,11,l2,k5,43.785034
m1_q_l1,ss,8,l1,k2,43.739996
m2_in,m2_q_l2,2,l2,k4,43.583143
m2_q_l2,ss,2,l2,k4,43.583143
m3_in,m3_q_l1,6,l1,k2,43.013916
m1_in,m1_q_l2,5,l2,k3,42.664992
m1_q_l2,ss,5,l2,k3,42.664992
m1_in,m1_q_l2,2,l2,k2,42.6279
m1_q_l2,ss,2,l2,k2,42.6279
m2_in,m2_q_l1,10,l1,k1,42.329938
m3_in,m3_q_l2,6,l2,k5,41.806836
m3_q_l2,ss,6,l2,k5,41.806836
m10_in,m10_q_l2,2,l2,k3,41.698599
m10_q_l2,ss,2,l2,k3,41.698599
